workspace,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_assist_torque_nm
real_balance_only_noassist,0.008,1.825136,14.171665,300.000000,1.086019678,-8.680707766,0.031854638,0.000000,6,nan,nan
real_balance_only_noassist,0.067,-31.580326,28.911665,300.000000,1.044996619,-8.920599597,-0.551180676,0.000000,6,260.000000000,0.000000000
real_balance_only_noassist,0.118,-57.596444,39.000000,0.000000,0.808126369,-7.166717779,-1.005247592,0.000000,6,15.455425999,0.000000000
real_balance_only_noassist,0.170,-75.339197,38.934684,0.000000,0.677148608,-6.808701640,-1.314917037,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,0.222,-97.544519,38.587533,0.000000,0.624672620,-8.423083924,-1.702473027,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,0.274,-124.509225,37.692122,-9.080749,0.578286975,-10.101940960,-2.173095918,0.000000,6,-1.728559384,0.000000000
real_balance_only_noassist,0.325,-157.639254,34.955599,-41.289865,0.699115054,-12.938404833,-2.751324012,0.000000,6,-29.492760633,0.000000000
real_balance_only_noassist,0.377,157.242393,26.640645,-73.764828,1.247658295,-17.443550428,2.744397482,0.000000,6,-52.689162633,0.000000000
real_balance_only_noassist,0.428,109.478418,15.640645,-105.939447,1.276088361,-15.925881711,1.910758855,0.000000,6,-75.671033883,0.000000000
real_balance_only_noassist,0.480,67.469695,4.640645,-66.497918,1.303146179,-13.787580174,1.177568316,0.000000,6,-3.006241834,0.000000000
real_balance_only_noassist,0.532,24.445979,-1.632748,-73.290554,1.911511988,-17.043253217,0.426662830,0.000000,6,-2.984023832,0.000000000
real_balance_only_noassist,0.583,-16.435692,-6.022933,-34.529956,1.591682431,-14.343262494,-0.286856934,0.000000,6,79.911083367,0.000000000
real_balance_only_noassist,0.635,-58.823214,-10.276876,-1.946213,1.376098936,-13.969262204,-1.026658767,0.000000,6,-19.565103634,0.000000000
real_balance_only_noassist,0.687,-101.024444,-17.233554,5.293476,1.252301119,-15.288385251,-1.763209171,0.000000,6,-0.921321483,0.000000000
real_balance_only_noassist,0.739,-146.878034,-25.357059,37.842886,1.103769549,-16.124579029,-2.563505296,0.000000,6,27.030632817,0.000000000
real_balance_only_noassist,0.791,172.703031,-29.808845,70.493187,0.560077321,-11.799357370,3.014236528,0.000000,6,50.352276567,0.000000000
real_balance_only_noassist,0.842,153.285000,-24.752719,102.798882,0.076749378,-2.952208468,2.675327940,0.000000,6,68.788473716,0.000000000
real_balance_only_noassist,0.893,148.132166,-13.752719,135.140921,0.067060521,-1.406535650,2.585394023,0.000000,6,96.529229517,0.000000000
real_balance_only_noassist,0.944,145.811171,-2.752719,108.570977,0.068416439,-0.389183338,2.544885027,0.000000,6,77.550697553,0.000000000
real_balance_only_noassist,0.996,146.435325,8.247281,75.989359,0.067041570,0.635154402,2.555778563,0.000000,6,58.903584053,0.000000000
real_balance_only_noassist,1.047,149.892885,19.247281,44.019557,0.063037898,1.588936305,2.616124365,0.000000,6,36.144413753,0.000000000
real_balance_only_noassist,1.099,155.854963,30.247281,11.332560,0.057324534,2.397634584,2.720182255,0.000000,6,8.094685703,0.000000000
real_balance_only_noassist,1.150,159.140508,38.965726,-21.272861,0.094829366,-4.156623566,2.777525837,0.000000,6,-10.502424697,0.000000000
real_balance_only_noassist,1.202,142.509150,36.719358,-53.677820,0.258361148,-6.657911505,2.487253878,0.000000,6,-33.693452347,0.000000000
real_balance_only_noassist,1.254,119.367302,28.279133,-86.572980,0.497936240,-8.630929044,2.083352442,0.000000,6,-61.837842847,0.000000000
real_balance_only_noassist,1.306,97.707489,17.279133,-79.817218,0.522925586,-6.766693984,1.705317382,0.000000,6,-57.012298897,0.000000000
real_balance_only_noassist,1.357,81.653233,6.279133,-47.319859,0.541577214,-4.801430112,1.425117766,0.000000,6,-33.799899397,0.000000000
real_balance_only_noassist,1.409,71.098519,-4.720867,-14.673649,0.553743789,-2.925277577,1.240903242,0.000000,6,-15.106805797,0.000000000
real_balance_only_noassist,1.461,65.666778,-15.667690,17.735535,0.560274337,-1.243861292,1.146101492,0.000000,6,12.668239102,0.000000000
real_balance_only_noassist,1.512,63.394103,-24.719472,50.046467,0.570041743,-0.690102461,1.106435823,0.000000,6,35.747476402,0.000000000
real_balance_only_noassist,1.563,60.091315,-27.827432,82.243000,0.599903780,-1.720874144,1.048791305,0.000000,6,54.112174852,0.000000000
real_balance_only_noassist,1.615,50.551811,-20.973231,153.007547,0.717830716,-4.361981409,0.882295552,0.000000,6,176.514423053,0.000000000
real_balance_only_noassist,1.665,40.323687,-9.973231,77.624499,0.727901018,-3.013922546,0.703781106,0.000000,6,33.406157177,0.000000000
real_balance_only_noassist,1.717,42.270083,-4.031452,-51.073118,0.841773055,6.304838599,0.737752127,0.000000,6,-220.075012674,0.000000000
real_balance_only_noassist,1.769,74.118363,-14.476644,-180.815731,1.070922563,11.949287882,1.293609474,0.000000,6,-260.000000000,0.000000000
real_balance_only_noassist,1.821,110.897730,-25.476644,-155.568098,0.976539194,13.454633593,1.935530518,0.000000,6,-75.422005999,0.000000000
real_balance_only_noassist,1.871,155.311318,-34.063700,-29.644906,1.504635187,19.162242692,2.710693872,0.000000,6,109.168116503,0.000000000
real_balance_only_noassist,1.923,-126.759454,-26.019875,101.819804,3.389368220,28.424473043,-2.212369838,0.000000,6,132.831764303,0.000000000
real_balance_only_noassist,1.975,-49.201739,-15.019875,179.059857,3.375899062,26.110849439,-0.858732345,0.000000,6,132.793547152,0.000000000
real_balance_only_noassist,2.036,36.029345,-2.039875,140.144127,3.206761867,24.985104416,0.628830703,0.000000,6,100.102947502,0.000000000
real_balance_only_noassist,2.087,109.024137,8.960125,133.904526,2.957634407,25.947753458,1.902830150,0.000000,6,91.016879153,0.000000000
real_balance_only_noassist,2.137,-175.424324,19.960125,127.642265,2.792488710,26.416084431,-3.061732041,0.000000,6,91.173046702,0.000000000
real_balance_only_noassist,2.190,-101.997215,30.960125,94.841132,2.776961804,24.830060879,-1.780187224,0.000000,6,67.743665752,0.000000000
real_balance_only_noassist,2.240,-30.751201,38.934458,0.000000,3.785282952,27.638994563,-0.536709708,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,2.292,48.382129,38.105830,30.169679,3.597699376,27.132467725,0.844427454,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,2.344,125.621414,39.000000,-2.312458,3.129215200,27.227557210,2.192507292,0.000000,6,-1.651755398,0.000000000
real_balance_only_noassist,2.395,-156.616700,38.644904,-34.789402,2.777016626,26.195366719,-2.733477086,0.000000,6,-20.189090497,0.000000000
real_balance_only_noassist,2.447,-91.450545,32.427462,-67.238495,2.094423669,20.687900550,-1.596113117,0.000000,6,-48.027496298,0.000000000
real_balance_only_noassist,2.498,-36.107480,21.427462,-99.357457,2.080996945,18.517369549,-0.630194407,0.000000,6,-70.969612298,0.000000000
real_balance_only_noassist,2.549,15.074524,10.427462,-131.900753,2.015264317,17.634961311,0.263100072,0.000000,6,-94.214823548,0.000000000
real_balance_only_noassist,2.600,66.331279,-0.572538,-164.094559,1.882403055,18.251540525,1.157699223,0.000000,6,-117.210399548,0.000000000
real_balance_only_noassist,2.652,120.843619,-11.572538,-144.346075,1.723256191,19.570630756,2.109119033,0.000000,6,-107.733990848,0.000000000
real_balance_only_noassist,2.703,178.205889,-22.572538,-112.005531,1.621308415,20.131542750,3.110279514,0.000000,6,-80.003950448,0.000000000
real_balance_only_noassist,2.755,-125.598033,-33.572538,-79.563830,1.612484011,19.029569836,-2.192099217,0.000000,6,-61.455929198,0.000000000
real_balance_only_noassist,2.808,-72.613598,-39.000000,0.000000,1.842931404,18.257030609,-1.267346367,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,2.860,-23.586320,-39.000000,0.000000,1.835176680,16.455686295,-0.411658941,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,2.922,20.291270,-38.901042,25.716070,1.733253819,15.594914730,0.354149469,0.000000,6,12.963507052,0.000000000
real_balance_only_noassist,2.984,62.892920,-35.519169,28.000000,1.295231202,13.453923386,1.097688534,0.000000,6,20.000000000,0.000000000
real_balance_only_noassist,3.049,102.685995,-27.735094,-6.033435,1.070714062,13.824689315,1.792208702,0.000000,6,-148.329951999,0.000000000
real_balance_only_noassist,3.100,143.665920,-25.474079,87.970224,1.195908594,16.730336345,2.507443322,0.000000,6,58.428610852,0.000000000
real_balance_only_noassist,3.152,-159.573903,-15.138502,120.858346,1.639224774,20.090743437,-2.785090003,0.000000,6,86.327390002,0.000000000
real_balance_only_noassist,3.203,-104.542203,-4.138502,153.050833,1.651785112,18.424942512,-1.824605648,0.000000,6,104.816828452,0.000000000
real_balance_only_noassist,3.255,-55.477309,6.861498,133.604494,1.671683466,16.254980790,-0.968261696,0.000000,6,95.431781453,0.000000000
real_balance_only_noassist,3.306,-11.613307,17.861498,101.063749,1.654941743,14.817006700,-0.202690438,0.000000,6,72.188391803,0.000000000
real_balance_only_noassist,3.357,30.242098,28.861498,68.896693,1.590183056,14.652531711,0.527824175,0.000000,6,49.211923703,0.000000000
real_balance_only_noassist,3.408,74.284578,39.000000,0.000000,1.689991783,17.257654026,1.296510464,0.000000,6,30.956783153,0.000000000
real_balance_only_noassist,3.461,129.343310,39.000000,0.000000,1.701301579,19.733662201,2.257466624,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,3.513,-173.537262,38.832447,-29.400014,1.529308681,19.537240619,-3.028796598,0.000000,6,-21.000009847,0.000000000
real_balance_only_noassist,3.566,-125.711113,34.775518,-62.345073,0.983406398,14.318255576,-2.194072823,0.000000,6,-44.532194647,0.000000000
real_balance_only_noassist,3.618,-91.751540,24.283753,-114.459524,0.850771697,10.843956299,-1.601366470,0.000000,6,-125.566532045,0.000000000
real_balance_only_noassist,3.669,-64.148469,13.283753,-242.049126,0.874881882,8.822974640,-1.119601988,0.000000,6,-260.000000000,0.000000000
real_balance_only_noassist,3.719,-41.818858,2.283753,-300.000000,0.888979763,7.143897421,-0.729876764,0.000000,6,-260.000000000,0.000000000
real_balance_only_noassist,3.771,-23.478829,-8.716247,-300.000000,0.894367971,5.959358299,-0.409782866,0.000000,6,-260.000000000,0.000000000
real_balance_only_noassist,3.821,-7.661733,-19.716247,-278.640604,0.893139517,5.287785010,-0.133722462,0.000000,6,-218.258233336,0.000000000
real_balance_only_noassist,3.873,7.064984,-30.716247,-289.038940,0.886085565,5.105510358,0.123307224,0.000000,6,-227.700793256,0.000000000
real_balance_only_noassist,3.925,16.529419,-39.000000,0.000000,0.783438630,-1.927111786,0.288492785,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,3.976,10.449865,-39.000000,0.000000,0.793300958,-1.937092384,0.182384547,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,4.028,5.460806,-39.000000,0.000000,0.793637107,-1.629263844,0.095309044,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,4.079,0.801169,-38.867164,21.726260,0.798634590,-1.862320568,0.013983039,0.000000,6,10.847620103,0.000000000
real_balance_only_noassist,4.129,-14.128077,-33.847968,128.285562,1.131413552,-9.466819203,-0.246581462,0.000000,6,260.000000000,0.000000000
real_balance_only_noassist,4.181,-42.606893,-22.847968,258.016832,1.099955270,-10.231602124,-0.743630562,0.000000,6,260.000000000,0.000000000
real_balance_only_noassist,4.233,-73.867791,-11.847968,300.000000,1.026810379,-11.460586692,-1.289236164,0.000000,6,260.000000000,0.000000000
real_balance_only_noassist,4.285,-109.265113,-0.847968,248.563447,0.936726878,-12.978782702,-1.907035985,0.000000,6,197.701838000,0.000000000
real_balance_only_noassist,4.336,-148.803379,10.008184,120.422622,0.894792948,-14.474545497,-2.597108895,0.000000,6,-12.224485147,0.000000000
real_balance_only_noassist,4.388,164.898086,18.203923,-8.473530,1.238694929,-17.501021218,2.878014536,0.000000,6,-30.743655998,0.000000000
real_balance_only_noassist,4.439,110.492943,20.830170,-81.884121,1.787253859,-19.571854582,1.928465664,0.000000,6,-58.488657998,0.000000000
real_balance_only_noassist,4.490,57.308660,16.021957,-68.441780,1.776428176,-17.117883806,1.000224799,0.000000,6,-53.463994704,0.000000000
real_balance_only_noassist,4.542,14.198143,5.302257,-36.141977,1.601593620,-14.394270946,0.247804337,0.000000,6,-25.815697704,0.000000000
real_balance_only_noassist,4.592,-26.302524,-5.697743,-4.217843,1.543949359,-14.140153302,-0.459065640,0.000000,6,-7.525670904,0.000000000
real_balance_only_noassist,4.643,-68.190295,-16.613671,28.150601,1.457214475,-15.157737490,-1.190145159,0.000000,6,15.459723396,0.000000000
real_balance_only_noassist,4.695,-114.279522,-25.755273,60.511388,1.319675458,-16.497165381,-1.994553934,0.000000,6,38.588085846,0.000000000
real_balance_only_noassist,4.747,-157.709397,-29.098943,92.813964,0.724277368,-13.180990839,-2.752548241,0.000000,6,66.295688346,0.000000000
real_balance_only_noassist,4.798,178.899131,-21.439652,125.612196,0.131572613,-5.733676483,3.122378858,0.000000,6,85.043154546,0.000000000
real_balance_only_noassist,4.850,163.056511,-10.439652,158.130194,0.130998049,-5.337719753,2.845872987,0.000000,6,112.950138546,0.000000000
real_balance_only_noassist,4.901,149.056406,0.560348,190.480553,0.137470177,-4.517228799,2.601525050,0.000000,6,131.582137446,0.000000000
real_balance_only_noassist,4.953,138.004846,11.560348,210.000000,0.145965275,-3.361454724,2.408638947,0.000000,6,150.000000000,0.000000000
real_balance_only_noassist,5.006,130.641133,22.560348,183.922550,0.152827937,-2.000347842,2.280117911,0.000000,6,131.373249900,0.000000000
real_balance_only_noassist,5.056,127.355647,33.560348,151.537739,0.155507825,-0.547887707,2.222775367,0.000000,6,112.888555800,0.000000000
real_balance_only_noassist,5.108,121.080549,39.000000,0.000000,0.253733148,-3.997084836,2.113254242,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,5.160,112.440759,39.000000,0.000000,0.263923576,-2.308334604,1.962461454,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,5.212,108.789488,39.000000,0.000000,0.267244719,-0.555343215,1.898734761,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,5.262,110.134219,39.000000,0.000000,0.262845168,1.174445654,1.922204745,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,5.314,116.310631,38.993852,-10.138952,0.250144385,2.813840196,2.030003458,0.000000,6,-7.242108600,0.000000000
real_balance_only_noassist,5.365,125.795289,37.874730,-42.792426,0.208496252,3.376665424,2.195541985,0.000000,6,-30.566018550,0.000000000
real_balance_only_noassist,5.417,132.933740,31.785972,-75.447705,0.133882955,1.480459963,2.320131441,0.000000,6,-49.185132600,0.000000000
real_balance_only_noassist,5.469,136.899624,20.831465,-108.214918,0.120020878,1.879813428,2.389349176,0.000000,6,-72.605716500,0.000000000
real_balance_only_noassist,5.521,144.249614,9.831465,-140.606858,0.110283615,3.014286883,2.517630710,0.000000,6,-100.433470350,0.000000000
real_balance_only_noassist,5.572,154.458453,-1.168535,-172.784388,0.099317047,3.904129917,2.695808568,0.000000,6,-123.417420150,0.000000000
real_balance_only_noassist,5.623,166.671863,-12.168535,-205.529294,0.090142339,4.460194834,2.908972775,0.000000,6,-146.806638600,0.000000000
real_balance_only_noassist,5.675,179.814478,-23.168535,-183.938037,0.085265900,4.616921132,3.138354676,0.000000,6,-135.973766400,0.000000000
real_balance_only_noassist,5.727,-167.304323,-34.168535,-151.440629,0.085453019,4.354861714,-2.920011293,0.000000,6,-108.171878100,0.000000000
real_balance_only_noassist,5.779,-143.362787,-39.000000,0.000000,0.595879400,11.383683023,-2.502152655,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,5.830,-113.310820,-39.000000,0.000000,0.619281875,9.774481922,-1.977646888,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,5.881,-88.626616,-39.000000,0.000000,0.644710473,7.792713207,-1.546826253,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,5.935,-69.651878,-39.000000,0.000000,0.664878464,5.831634883,-1.215654605,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,5.986,-55.988199,-38.986881,11.774339,0.677239651,4.041823794,-0.977178419,0.000000,6,8.410242450,0.000000000
real_balance_only_noassist,6.037,-48.807383,-37.550638,44.177764,0.656146376,1.152679290,-0.851849529,0.000000,6,26.949968400,0.000000000
real_balance_only_noassist,6.090,-53.375187,-30.597230,77.072533,0.682800131,-3.751835760,-0.931572759,0.000000,6,55.051809150,0.000000000
real_balance_only_noassist,6.141,-67.459547,-19.597230,86.881200,0.665069761,-5.528310250,-1.177391201,0.000000,6,62.057999937,0.000000000
real_balance_only_noassist,6.192,-85.998858,-8.597230,54.577700,0.623869592,-7.142992156,-1.500963221,0.000000,6,38.984071287,0.000000000
real_balance_only_noassist,6.243,-109.241854,2.402770,48.177587,0.570923416,-8.772704163,-1.906630033,0.000000,6,34.412561787,0.000000000
real_balance_only_noassist,6.294,-136.766838,13.402770,80.280713,0.516357609,-10.122368549,-2.387031633,0.000000,6,57.343366587,0.000000000
real_balance_only_noassist,6.351,-167.128418,24.402770,44.666980,0.477286438,-10.810020039,-2.916941163,0.000000,6,37.118010836,0.000000000
real_balance_only_noassist,6.406,161.483003,35.622770,9.582915,0.465536967,-10.550144747,2.818410089,0.000000,6,6.844939437,0.000000000
real_balance_only_noassist,6.456,119.654381,38.995818,-22.245698,1.294430178,-16.554279750,2.088362914,0.000000,6,-15.889784164,0.000000000
real_balance_only_noassist,6.507,75.409290,37.967932,-54.456448,1.336342949,-14.535237382,1.316140396,0.000000,6,-38.897462913,0.000000000
real_balance_only_noassist,6.559,39.013013,33.236092,-28.000000,1.218491926,-11.414858106,0.680905520,0.000000,6,-20.000000000,0.000000000
real_balance_only_noassist,6.611,6.191911,28.058375,20.512498,1.714380369,-15.263269238,0.108069230,0.000000,6,162.356253999,0.000000000
