workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,motor_command_cm_s,cart_joint_effort_cmd_n,cart_force_cmd_n,hinge_assist_torque_nm,note
real_current_proof,SWING_UP,0.276,-179.965177,0.016241,2.800720,0.000022427,0.074757908,-3.140984874,0.000000,6,0.028007201,2.800720148,2.000514391,2.000514391,0.000000000,auto_capture
real_current_proof,SWING_UP,0.326,-179.295438,0.336765,2.807762,0.000241722,0.230246647,-3.129295735,0.000000,6,-0.014425844,-1.442584419,-1.030417442,-1.030417442,0.000000000,auto_capture
real_current_proof,SWING_UP,0.377,-178.582038,0.715727,2.810948,0.000340967,0.234950302,-3.116844549,0.000000,6,0.028109485,2.810948475,2.007820339,2.007820339,0.000000000,auto_capture
real_current_proof,SWING_UP,0.429,-177.848897,1.172918,-3.148760,0.000587765,0.278947118,-3.104048817,0.000000,6,-0.031487602,-3.148760232,-2.249114451,-2.249114451,0.000000000,auto_capture
real_current_proof,SWING_UP,0.480,-177.140699,1.718085,2.222958,0.000719759,0.240436259,-3.091688445,0.000000,6,0.022229578,2.222957778,1.587826984,1.587826984,0.000000000,auto_capture
real_current_proof,SWING_UP,0.532,-176.459773,2.380315,2.830459,0.000948580,0.223472222,-3.079804039,0.000000,6,0.028304590,2.830458987,2.021756419,2.021756419,0.000000000,auto_capture
real_current_proof,SWING_UP,0.583,-175.764722,3.208554,-1.290151,0.001336656,0.257433441,-3.067673106,0.000000,6,0.028058542,2.805854169,2.004181549,2.004181549,0.000000000,auto_capture
real_current_proof,SWING_UP,0.634,-175.094770,4.213738,-7.274539,0.001649805,0.230563770,-3.055980245,0.000000,6,-0.072745390,-7.274539004,-5.196099289,-5.196099289,0.000000000,auto_capture
real_current_proof,SWING_UP,0.685,-175.917391,4.726915,11.971621,0.001992525,-0.499195729,-3.070337687,0.000000,6,0.119716214,11.971621426,8.551158161,8.551158161,0.000000000,auto_capture
real_current_proof,SWING_UP,0.736,-176.456514,5.541349,-2.829745,0.000926355,-0.209854381,-3.079747149,0.000000,6,-0.028297453,-2.829745347,-2.021246676,-2.021246676,0.000000000,auto_capture
real_current_proof,SWING_UP,0.787,-177.282668,6.363708,0.842601,0.000799849,-0.299426931,-3.094166257,0.000000,6,-0.028238183,-2.823818342,-2.017013101,-2.017013101,0.000000000,auto_capture
real_current_proof,SWING_UP,0.838,-178.138751,7.278782,4.944259,0.000644777,-0.330814009,-3.109107729,0.000000,6,0.006977254,0.697725368,0.498375263,0.498375263,0.000000000,auto_capture
real_current_proof,SWING_UP,0.890,-178.979277,8.271901,-2.811649,0.000362772,-0.274091792,-3.123777681,0.000000,6,-0.028116486,-2.811648649,-2.008320464,-2.008320464,0.000000000,auto_capture
real_current_proof,SWING_UP,0.951,179.981967,9.491520,3.898294,0.000452355,-0.336279526,3.141277915,0.000000,6,0.038982941,3.898294127,2.784495805,2.784495805,0.000000000,auto_capture
real_current_proof,SWING_UP,1.003,179.123334,10.502689,2.287428,0.000471875,-0.326321630,3.126291942,0.000000,6,0.022874277,2.287427707,1.633876934,1.633876934,0.000000000,auto_capture
real_current_proof,SWING_UP,1.053,178.261975,11.465964,-2.815755,0.000490659,-0.278449396,3.111258399,0.000000,6,-0.028157551,-2.815755112,-2.011253651,-2.011253651,0.000000000,auto_capture
real_current_proof,SWING_UP,1.105,177.386475,12.338567,-1.721128,0.000785026,-0.306946401,3.095978029,0.000000,6,-0.017211277,-1.721127673,-1.229376909,-1.229376909,0.000000000,auto_capture
real_current_proof,SWING_UP,1.156,176.483009,13.076227,0.048256,0.001153464,-0.321884072,3.080209585,0.000000,6,-0.000997112,-0.099711199,-0.071222285,-0.071222285,0.000000000,auto_capture
real_current_proof,SWING_UP,1.207,175.601759,13.664160,-2.848060,0.001496720,-0.292037804,3.064828875,0.000000,6,-0.016621531,-1.662153117,-1.187252227,-1.187252227,0.000000000,auto_capture
real_current_proof,SWING_UP,1.258,174.715650,14.051535,-2.670313,0.002045966,-0.307499394,3.049363353,0.000000,6,-0.026703128,-2.670312767,-1.907366262,-1.907366262,0.000000000,auto_capture
real_current_proof,SWING_UP,1.309,173.819633,14.197669,-0.767516,0.002692612,-0.320916199,3.033724895,0.000000,6,-0.007675155,-0.767515524,-0.548225374,-0.548225374,0.000000000,auto_capture
real_current_proof,SWING_UP,1.361,172.935360,14.074341,-2.858315,0.003353957,-0.306132363,3.018291425,0.000000,6,-0.015220338,-1.522033754,-1.087166967,-1.087166967,0.000000000,auto_capture
real_current_proof,SWING_UP,1.412,172.062667,13.643239,-2.932366,0.004122242,-0.301218617,3.003060063,0.000000,6,-0.029323656,-2.932365555,-2.094546825,-2.094546825,0.000000000,auto_capture
real_current_proof,SWING_UP,1.464,171.201036,12.866149,-2.959550,0.004968838,-0.296116792,2.988021764,0.000000,6,-0.029595498,-2.959549848,-2.113964177,-2.113964177,0.000000000,auto_capture
real_current_proof,SWING_UP,1.515,170.382417,11.720907,-2.986796,0.005817354,-0.274817448,2.973734167,0.000000,6,-0.029867958,-2.986795768,-2.133425549,-2.133425549,0.000000000,auto_capture
real_current_proof,SWING_UP,1.566,169.667551,10.201330,-3.011048,0.006572642,-0.228764611,2.961257393,0.000000,6,-0.030110481,-3.011048140,-2.150748671,-2.150748671,0.000000000,auto_capture
real_current_proof,SWING_UP,1.617,169.119573,8.307621,-3.029914,0.007160169,-0.162860334,2.951693381,0.000000,6,-0.030299137,-3.029913695,-2.164224068,-2.164224068,0.000000000,auto_capture
real_current_proof,SWING_UP,1.671,168.784537,6.039784,-3.041526,0.007521797,-0.083689234,2.945845891,0.000000,6,-0.030415256,-3.041525583,-2.172518273,-2.172518273,0.000000000,auto_capture
real_current_proof,SWING_UP,1.722,168.538580,3.326181,-3.052642,0.007867989,-0.103722066,2.941553129,0.000000,6,-0.030526419,-3.052641863,-2.180458474,-2.180458474,0.000000000,auto_capture
real_current_proof,SWING_UP,1.773,168.286583,0.110784,-3.064823,0.008247352,-0.137602787,2.937154959,0.000000,6,-0.030600747,-3.060074717,-2.185767655,-2.185767655,0.000000000,auto_capture
real_current_proof,SWING_UP,1.825,168.048962,-3.608853,-9.650372,0.008511591,-0.039646890,2.933007699,0.000000,6,-0.096503722,-9.650372198,-6.893122999,-6.893122999,0.000000000,auto_capture
real_current_proof,SWING_UP,1.876,168.185021,-7.671598,-2.927695,0.008892589,0.380513006,2.935382372,0.000000,6,0.034150120,3.415011952,2.439294251,2.439294251,0.000000000,auto_capture
real_current_proof,SWING_UP,1.927,169.016231,-11.902897,3.033475,0.007271086,0.143864220,2.949889718,0.000000,6,-0.005499119,-0.549911855,-0.392794182,-0.392794182,0.000000000,auto_capture
real_current_proof,SWING_UP,1.978,170.018735,-16.517039,2.944605,0.006338826,0.316088558,2.967386714,0.000000,6,-0.034297455,-3.429745451,-2.449818179,-2.449818179,0.000000000,auto_capture
real_current_proof,SWING_UP,2.030,171.071332,-21.526106,1.326714,0.005296397,0.367907689,2.985758006,0.000000,6,0.013267144,1.326714417,0.947653155,0.947653155,0.000000000,auto_capture
real_current_proof,SWING_UP,2.081,173.990188,-26.019734,33.502328,0.016279361,1.879010534,3.036701642,0.000000,6,0.271969147,27.196914717,19.426367655,19.426367655,0.000000000,auto_capture
real_current_proof,SWING_UP,2.132,-173.598960,-26.224106,63.192997,0.168632754,6.445666975,-3.029873425,0.000000,6,0.591139804,59.113980387,42.224271705,42.224271705,0.000000000,auto_capture
real_current_proof,SWING_UP,2.184,-146.199598,-18.762761,38.156539,0.565981772,11.176521671,-2.551664351,0.000000,6,0.381565386,38.156538573,27.254670409,27.254670409,0.000000000,auto_capture
real_current_proof,SWING_UP,2.235,-115.461468,-7.765502,5.847098,0.626249388,10.031746074,-2.015182774,0.000000,6,0.058470976,5.847097563,4.176498259,4.176498259,0.000000000,auto_capture
real_current_proof,SWING_UP,2.286,-90.190887,2.795776,-26.499386,0.642565316,7.928944383,-1.574127933,0.000000,6,-0.264993856,-26.499385557,-18.928132541,-18.928132541,0.000000000,auto_capture
real_current_proof,SWING_UP,2.337,-70.195052,9.986026,-58.630302,0.698465220,6.578612601,-1.225134771,0.000000,6,-0.586303022,-58.630302207,-41.878787291,-41.878787291,0.000000000,auto_capture
real_current_proof,SWING_UP,2.388,-50.716656,9.989201,-52.284239,0.791615103,6.139314537,-0.885172631,0.000000,6,-0.586978760,-58.697876007,-41.927054291,-41.927054291,-3.000000000,auto_capture
real_current_proof,SWING_UP,2.439,-44.681578,2.429730,-63.699901,0.698043136,2.580537334,-0.779840648,0.000000,6,-0.636999005,-63.699900517,-50.474127181,-50.474127181,-1.789337791,auto_capture
real_current_proof,SWING_UP,2.491,-41.311704,-8.570270,7.787776,0.695382989,1.435257356,-0.721025261,0.000000,6,0.077877759,7.787775883,-23.921561661,-23.921561661,-0.133335988,auto_capture
real_current_proof,SWING_UP,2.542,-38.155424,-19.570270,79.913550,0.705777533,1.097564303,-0.665937777,0.000000,6,0.799135499,79.913549883,2.868011539,2.868011539,0.241710448,auto_capture
real_current_proof,SWING_UP,2.593,-35.778547,-29.747846,133.000000,0.712321226,0.627268466,-0.624453453,0.000000,6,1.330000000,133.000000000,29.421157899,29.421157899,0.869730814,auto_capture
real_current_proof,SWING_UP,2.644,-34.648606,-35.132512,133.000000,0.715392008,0.213564912,-0.604732252,0.000000,6,1.330000000,133.000000000,55.903460499,55.903460499,1.472492897,auto_capture
real_current_proof,SWING_UP,2.695,-33.887224,-31.826758,61.977087,0.718947832,0.447832799,-0.591443631,0.000000,6,0.619770872,61.977087200,35.058374098,35.058374098,1.057798413,auto_capture
real_current_proof,SWING_UP,2.746,-31.941512,-21.942578,-9.914545,0.729907073,1.063121272,-0.557484556,0.000000,6,-0.099145452,-9.914545200,8.355767778,8.355767778,-0.028540366,auto_capture
real_current_proof,SWING_UP,2.797,-29.142527,-11.124819,-80.920447,0.740549693,1.164389637,-0.508633041,0.000000,6,-0.809204466,-80.920446600,-18.017852742,-18.017852742,-0.052211299,auto_capture
real_current_proof,SWING_UP,2.848,-25.493218,-3.141471,-133.000000,0.754847820,1.436433124,-0.444940593,0.000000,6,-1.330000000,-133.000000000,-44.788072062,-44.788072062,-0.963471220,auto_capture
