workspace,direction,force_n,torque_nm,elapsed_s,trial_elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_total_torque_nm,external_disturbance_torque_nm
ros2_pendulum_ws,positive,2.0500,0.820000,14.283,0.010,-0.286384,19.580168,0.025568,0.784795230,0.005735566,-0.004998339,10.599706,7,0.018785637,0.003306928,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.334,0.061,0.930526,18.440497,2.247280,0.784945448,0.222034503,0.016240734,10.411372,7,3.020840642,0.419839873,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.385,0.112,1.900036,16.526625,-2.465701,0.785055496,0.343234233,0.033161883,10.226524,7,0.916966016,0.102825805,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.436,0.163,2.746556,14.483624,-1.413281,0.784712215,0.301237986,0.047936451,10.045271,7,-0.660954876,-0.037436584,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.487,0.214,3.523338,12.359319,-0.682361,0.784345387,0.267900258,0.061493851,9.867592,7,-0.620390399,-0.041670737,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.538,0.265,4.253182,10.166443,-0.468282,0.783965194,0.247910003,0.074232033,9.693670,7,-0.429525396,-0.033591821,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.589,0.316,4.939842,7.911951,-0.432584,0.783559819,0.233091501,0.086216511,9.522034,7,-0.331926046,-0.032966591,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.640,0.367,5.584960,5.602217,-0.403370,0.783129600,0.219277169,0.097475942,9.353387,7,-0.291490650,-0.036599420,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.691,0.418,6.190479,3.243579,-0.358406,0.782681478,0.205914341,0.108044245,9.188604,7,-0.256004250,-0.041544852,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.742,0.468,6.758713,0.842335,-0.309623,0.782222401,0.193233743,0.117961804,9.025866,7,-0.227553311,-0.044156925,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.792,0.519,7.291942,-1.595399,-0.261951,0.781757890,0.181315904,0.127268389,8.866892,7,-0.193698059,-0.047280156,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.843,0.570,7.792316,-4.063696,-0.216605,0.781292375,0.170135025,0.136001570,8.709906,7,-0.161125665,-0.050181339,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.894,0.621,8.261637,-6.556784,-0.138851,0.780829331,0.159351094,0.144192773,8.647857,7,-0.113346043,-0.052518321,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.946,0.673,8.701179,-9.066117,-0.083664,0.780373068,0.149405326,0.151864216,8.647857,7,-0.066176802,-0.054447312,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,14.996,0.723,9.121478,-11.634150,-0.045328,0.779916335,0.140043074,0.159199816,8.647857,7,-0.036426582,-0.056819986,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,15.047,0.773,9.500348,-14.104441,-0.009780,0.779487297,0.131548939,0.165812360,8.647857,7,-0.012637356,-0.059185058,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,15.097,0.824,9.863313,-16.623728,0.023369,0.779060963,0.123434703,0.172147292,8.647857,7,0.011208114,-0.061208067,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,15.148,0.875,10.203878,-19.137402,0.055999,0.778647279,0.115787144,0.178091273,8.647857,7,0.034263215,-0.063216193,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,15.198,0.925,10.529574,-21.691431,0.086815,0.778239336,0.108480262,0.183775728,8.647857,7,0.057013652,-0.064917210,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,15.248,0.975,10.823212,-24.132200,0.112940,0.777861263,0.101938895,0.188900688,8.647857,7,0.076441336,-0.066608803,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,15.299,1.026,11.104593,-26.606215,0.138480,0.777489794,0.095668063,0.193811704,8.647857,7,0.095604755,-0.068223857,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,15.350,1.077,11.368596,-29.060226,0.161565,0.777133110,0.089788846,0.198419438,8.647857,7,0.112253964,-0.069811168,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,15.400,1.127,11.537428,-31.453018,19.553384,0.776899999,-0.084751522,0.201366101,8.647857,7,10.811859278,-0.071229106,0.820000000
