workspace,direction,force_n,torque_nm,elapsed_s,trial_elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_total_torque_nm,external_disturbance_torque_nm
ros2_pendulum_ws,positive,0.1000,0.040000,14.579,0.001,0.293563,-19.848303,-0.027603,0.784794987,-0.005856212,0.005123635,-10.708936,7,-0.019716654,-0.003365450,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,14.639,0.061,0.330993,-19.481572,-0.067177,0.784793724,0.008244553,0.005776919,-10.483380,7,0.039150575,0.011415984,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,14.690,0.112,0.360068,-19.223099,-0.107779,0.784792674,0.010278517,0.006284377,-10.297804,7,0.028935028,0.002664237,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,14.741,0.162,0.385206,-18.973310,-0.076225,0.784791459,0.009040580,0.006723107,-10.115707,7,-0.036093139,-0.003066590,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,14.792,0.213,0.408133,-18.729830,-0.049380,0.784790296,0.007927751,0.007123273,-9.938321,7,-0.035271328,-0.003245730,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,14.843,0.264,0.430024,-18.487520,-0.040027,0.784789159,0.007265732,0.007505326,-9.761198,7,-0.032549469,-0.003276827,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,14.894,0.315,0.449774,-18.260119,-0.038149,0.784788097,0.006839373,0.007850046,-9.589987,7,-0.027248930,-0.003104650,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,14.945,0.366,0.468722,-18.033210,-0.037418,0.784787035,0.006441867,0.008180751,-9.419943,7,-0.026393099,-0.003200313,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,14.995,0.416,0.486526,-17.811294,-0.035907,0.784786000,0.006053501,0.008491480,-9.255062,7,-0.025952206,-0.003366600,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,15.046,0.467,0.503200,-17.594167,-0.033616,0.784784995,0.005671639,0.008782503,-9.091062,7,-0.024317226,-0.003452798,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,15.097,0.518,0.518837,-17.381534,-0.031858,0.784784025,0.005317323,0.009055418,-8.929798,7,-0.022965087,-0.003537114,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,15.148,0.569,0.533502,-17.173169,-0.030306,0.784783089,0.004984900,0.009311368,-8.771251,7,-0.021646943,-0.003622412,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,15.200,0.621,0.547539,-16.964839,-0.030520,0.784782170,0.004680617,0.009556351,-8.616478,7,-0.021800172,-0.003725074,0.040000000
