workspace,direction,force_n,torque_nm,result,fall_reason,max_abs_degree_deg,max_abs_cmX_cm,max_abs_theta_dot_rad_s,final_mode,push_duration_s,sample_count
ros2_pendulum_ws,positive,2.0500,0.820000,survived,,15.654748,33.385571,1.106009213,7,5.118,100
ros2_pendulum_ws,positive,2.1000,0.840000,survived,,16.042299,34.012282,1.110640199,7,5.155,101
ros2_pendulum_ws,positive,2.1500,0.860000,fall,rail_limit,16.296712,38.044259,1.112474188,7,2.949,58
ros2_pendulum_ws,negative,2.0500,-0.820000,survived,,15.882590,34.267999,1.119907273,7,5.161,101
ros2_pendulum_ws,negative,2.1000,-0.840000,survived,,16.242269,34.340237,1.493972450,7,5.166,101
ros2_pendulum_ws,negative,2.1500,-0.860000,survived,,16.619965,34.382727,1.472930165,7,5.164,101
ros2_pendulum_ws,negative,2.2000,-0.880000,fall,rail_limit,14.379199,38.225662,1.182398920,7,1.713,34
pendulum_real_ws,positive,2.0500,0.820000,fall,rail_limit,15.625128,38.011342,1.131453900,7,3.019,59
pendulum_real_ws,negative,2.0500,-0.820000,survived,,15.723108,33.514241,1.107225108,7,5.142,102
pendulum_real_ws,negative,2.1000,-0.840000,fall,rail_limit,15.995809,38.106041,1.132270850,7,3.023,59
pendulum_pid_ws,positive,2.0500,0.820000,fall,rail_limit,12.939845,38.143354,1.237728939,7,1.543,30
pendulum_pid_ws,negative,2.0500,-0.820000,survived,,15.522592,33.810458,1.714559655,7,5.148,99
pendulum_pid_ws,negative,2.1000,-0.840000,survived,,16.248102,34.434297,1.129275875,7,5.160,102
pendulum_pid_ws,negative,2.1500,-0.860000,survived,,16.469918,34.467227,1.738756169,7,5.122,99
pendulum_pid_ws,negative,2.2000,-0.880000,survived,,17.140366,37.379081,1.499034530,7,5.137,98
pendulum_pid_ws,negative,2.2500,-0.900000,survived,,17.384622,34.772010,1.659255949,7,5.149,100
pendulum_pid_ws,negative,2.3000,-0.920000,fall,rail_limit,15.735377,38.056494,1.215660524,7,1.992,39
