workspace,direction,force_n,torque_nm,result,fall_reason,max_abs_degree_deg,max_abs_cmX_cm,max_abs_theta_dot_rad_s,final_mode,push_duration_s,sample_count
ros2_pendulum_ws,positive,0.1000,0.040000,survived,,0.746053,19.706710,0.020070876,7,5.152,102
ros2_pendulum_ws,positive,0.2000,0.080000,survived,,1.469299,7.973803,0.047119999,7,5.134,101
ros2_pendulum_ws,positive,0.3000,0.120000,survived,,2.208827,11.195573,0.070844608,7,5.143,101
ros2_pendulum_ws,positive,0.4000,0.160000,survived,,2.946975,15.084297,0.104590460,7,5.152,102
ros2_pendulum_ws,positive,0.5000,0.200000,survived,,3.688524,19.242797,0.192250469,7,5.164,101
ros2_pendulum_ws,positive,0.7500,0.300000,survived,,5.533150,30.020815,0.178107317,7,5.157,101
ros2_pendulum_ws,positive,1.0000,0.400000,survived,,7.521434,31.471280,0.571707018,7,5.157,102
ros2_pendulum_ws,positive,1.2500,0.500000,survived,,9.507025,32.010667,0.807838646,7,5.163,101
ros2_pendulum_ws,positive,1.5000,0.600000,survived,,11.428492,32.461826,0.743165109,7,5.153,99
ros2_pendulum_ws,positive,1.7500,0.700000,survived,,13.341178,32.945588,1.084285254,7,5.116,99
ros2_pendulum_ws,positive,2.0000,0.800000,survived,,15.389678,33.797175,1.088528789,7,5.142,100
ros2_pendulum_ws,positive,2.5000,1.000000,fall,angle_limit,18.135059,34.868678,1.531984918,7,2.175,43
ros2_pendulum_ws,negative,0.1000,-0.040000,survived,,0.746061,19.680891,0.017729752,7,5.146,101
ros2_pendulum_ws,negative,0.2000,-0.080000,survived,,1.470297,7.992590,0.076496313,7,5.144,101
ros2_pendulum_ws,negative,0.3000,-0.120000,survived,,2.209549,11.210827,0.070844495,7,5.141,102
ros2_pendulum_ws,negative,0.4000,-0.160000,survived,,2.950010,15.148816,0.094569985,7,5.169,101
ros2_pendulum_ws,negative,0.5000,-0.200000,survived,,3.687254,19.213247,0.192278751,7,5.153,100
ros2_pendulum_ws,negative,0.7500,-0.300000,survived,,5.533060,30.015990,0.178143420,7,5.148,101
ros2_pendulum_ws,negative,1.0000,-0.400000,survived,,7.537997,31.519095,0.579828894,7,5.158,102
ros2_pendulum_ws,negative,1.2500,-0.500000,survived,,9.497268,31.965718,0.806149909,7,5.158,101
ros2_pendulum_ws,negative,1.5000,-0.600000,survived,,11.445195,32.441557,0.848053108,7,5.156,101
ros2_pendulum_ws,negative,1.7500,-0.700000,survived,,13.404123,33.014289,1.065883269,7,5.150,101
ros2_pendulum_ws,negative,2.0000,-0.800000,survived,,15.300574,33.707837,1.146297823,7,5.147,101
ros2_pendulum_ws,negative,2.5000,-1.000000,fall,angle_limit,18.097986,34.932975,0.927924265,7,2.177,43
pendulum_real_ws,positive,0.1000,0.040000,survived,,0.745798,18.345984,0.017907838,7,5.142,101
pendulum_real_ws,positive,0.2000,0.080000,survived,,1.470685,7.925640,0.076497465,7,5.165,101
pendulum_real_ws,positive,0.3000,0.120000,survived,,2.209531,11.199727,0.070866120,7,5.164,101
pendulum_real_ws,positive,0.4000,0.160000,survived,,2.948052,15.105386,0.094580337,7,5.159,101
pendulum_real_ws,positive,0.5000,0.200000,survived,,3.687275,19.214419,0.118297554,7,5.131,101
pendulum_real_ws,positive,0.7500,0.300000,survived,,5.533465,30.034030,0.289115766,7,5.139,100
pendulum_real_ws,positive,1.0000,0.400000,survived,,7.532418,31.494850,0.577222581,7,5.161,101
pendulum_real_ws,positive,1.2500,0.500000,survived,,9.554935,32.083905,0.801949850,7,5.153,101
pendulum_real_ws,positive,1.5000,0.600000,survived,,11.477220,32.526726,0.770575708,7,5.144,100
pendulum_real_ws,positive,1.7500,0.700000,survived,,13.385017,32.874375,1.014490790,7,5.151,101
pendulum_real_ws,positive,2.0000,0.800000,survived,,15.302038,33.811102,1.038734191,7,5.144,101
pendulum_real_ws,positive,2.5000,1.000000,fall,rail_limit,16.051372,38.369901,1.187667309,7,1.621,32
pendulum_real_ws,negative,0.1000,-0.040000,survived,,0.745896,21.474017,0.017930374,7,5.136,101
pendulum_real_ws,negative,0.2000,-0.080000,survived,,1.470937,8.128772,0.047112913,7,5.175,101
pendulum_real_ws,negative,0.3000,-0.120000,survived,,2.207387,11.180712,0.070837220,7,5.159,101
pendulum_real_ws,negative,0.4000,-0.160000,survived,,2.947118,15.089463,0.094559873,7,5.146,101
pendulum_real_ws,negative,0.5000,-0.200000,survived,,3.684791,19.159643,0.118312440,7,5.143,101
pendulum_real_ws,negative,0.7500,-0.300000,survived,,5.533182,30.022434,0.289193513,7,5.154,101
pendulum_real_ws,negative,1.0000,-0.400000,survived,,7.476935,31.497414,0.571433456,7,5.144,101
pendulum_real_ws,negative,1.2500,-0.500000,survived,,9.419906,31.925256,0.788847573,7,5.136,101
pendulum_real_ws,negative,1.5000,-0.600000,survived,,11.492526,32.440292,0.753969591,7,5.121,101
pendulum_real_ws,negative,1.7500,-0.700000,survived,,13.347589,32.990656,1.066595264,7,5.111,100
pendulum_real_ws,negative,2.0000,-0.800000,survived,,15.266647,33.797372,1.124324251,7,5.155,101
pendulum_real_ws,negative,2.5000,-1.000000,fall,rail_limit,16.011289,38.336203,0.793938369,7,1.603,32
pendulum_pid_ws,positive,0.1000,0.040000,survived,,0.745929,23.487925,0.017783667,7,5.160,101
pendulum_pid_ws,positive,0.2000,0.080000,survived,,1.471788,12.960244,0.047148869,7,5.152,102
pendulum_pid_ws,positive,0.3000,0.120000,survived,,2.208580,17.203838,0.070916601,7,5.146,101
pendulum_pid_ws,positive,0.4000,0.160000,survived,,2.948794,21.215662,0.094642666,7,5.157,101
pendulum_pid_ws,positive,0.5000,0.200000,survived,,3.685695,25.362395,0.192280015,7,5.139,101
pendulum_pid_ws,positive,0.7500,0.300000,survived,,5.608488,31.280485,0.313477605,7,5.167,101
pendulum_pid_ws,positive,1.0000,0.400000,survived,,7.631461,31.681498,0.766955629,7,5.148,101
pendulum_pid_ws,positive,1.2500,0.500000,survived,,9.466323,32.118840,0.831677122,7,5.138,100
pendulum_pid_ws,positive,1.5000,0.600000,survived,,11.531191,32.471968,0.880207996,7,5.118,100
pendulum_pid_ws,positive,1.7500,0.700000,survived,,13.314027,33.150646,1.069773247,7,5.162,100
pendulum_pid_ws,positive,2.0000,0.800000,survived,,15.403632,33.951475,1.098473044,7,5.150,100
pendulum_pid_ws,positive,2.5000,1.000000,fall,rail_limit,15.499457,38.067517,1.205392539,7,1.470,29
pendulum_pid_ws,negative,0.1000,-0.040000,survived,,0.712702,20.304685,0.047282997,7,5.157,101
pendulum_pid_ws,negative,0.2000,-0.080000,survived,,1.468885,4.864609,0.076542301,7,5.145,101
pendulum_pid_ws,negative,0.3000,-0.120000,survived,,2.210725,12.428207,0.115095461,7,5.162,101
pendulum_pid_ws,negative,0.4000,-0.160000,survived,,2.945731,20.580882,0.104640961,7,5.154,102
