workspace,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,external_force_n,note
lqr,2.578,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,1,0.000000000,0.000000000,0.000000000,0.000000,startup
lqr,2.599,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
lqr,2.621,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
lqr,2.641,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
lqr,2.662,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
lqr,2.683,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
lqr,2.703,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
lqr,2.724,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
lqr,2.745,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
lqr,2.765,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
lqr,2.786,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
lqr,2.806,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
lqr,2.826,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,swing_up
lqr,2.847,-179.982572,0.008128,6.398019,0.000005618,0.037414589,-3.141288474,0.000000,6,0.063980187,4.570013360,0.000000000,0.000000,swing_up
lqr,2.867,-179.774672,0.105590,1.130934,0.000238149,0.242443274,-3.137659943,0.000000,6,0.011309345,0.807810322,0.000000000,0.000000,swing_up
lqr,2.887,-179.428585,0.270322,-5.142360,0.000363638,0.293310467,-3.131619576,0.000000,6,-0.051423603,-3.673114477,0.000000000,0.000000,swing_up
lqr,2.908,-179.222913,0.374761,1.214399,0.000111896,0.137664814,-3.128029926,0.000000,6,0.012143991,0.867427902,0.000000000,0.000000,swing_up
lqr,2.928,-179.058656,0.465908,4.203137,0.000175823,0.175260034,-3.125163104,0.000000,6,0.042031365,3.002240360,0.000000000,0.000000,swing_up
lqr,2.949,-178.744310,0.634527,-2.157129,0.000444970,0.296115363,-3.119676722,0.000000,6,0.010065151,0.718939340,0.000000000,0.000000,swing_up
lqr,2.969,-178.470600,0.794181,-1.484199,0.000282882,0.189138665,-3.114899587,0.000000,6,-0.014841986,-1.060141853,0.000000000,0.000000,swing_up
lqr,2.990,-178.343777,0.896607,4.203778,0.000211780,0.109371811,-3.112686110,0.000000,6,0.042037779,3.002698519,0.000000000,0.000000,swing_up
lqr,3.020,-177.968671,1.159613,-1.980691,0.000539696,0.270697887,-3.106139268,0.000000,6,-0.019806910,-1.414779301,0.000000000,0.000000,swing_up
lqr,3.041,-177.716563,1.354368,0.782709,0.000446709,0.183797324,-3.101739154,0.000000,6,0.007827094,0.559078144,0.000000000,0.000000,swing_up
lqr,3.061,-177.528200,1.535892,3.415165,0.000503679,0.186130325,-3.098451601,0.000000,6,0.034151653,2.439403774,0.000000000,0.000000,swing_up
lqr,3.082,-177.241526,1.781267,-2.991587,0.000718496,0.256814301,-3.093448201,0.000000,6,-0.029915871,-2.136847906,0.000000000,0.000000,swing_up
lqr,3.102,-177.027827,2.012613,3.222464,0.000631523,0.160996617,-3.089718441,0.000000,6,0.032224645,2.301760334,0.000000000,0.000000,swing_up
lqr,3.123,-176.804855,2.269516,0.445560,0.000809775,0.223487031,-3.085826859,0.000000,6,0.004455602,0.318257282,0.000000000,0.000000,swing_up
lqr,3.143,-176.544798,2.566761,0.437128,0.000866740,0.195860281,-3.081288009,0.000000,6,0.004371278,0.312234122,0.000000000,0.000000,swing_up
lqr,3.163,-176.364808,2.851180,3.311490,0.000904763,0.169737585,-3.078146592,0.000000,6,0.033114899,2.365349913,0.000000000,0.000000,swing_up
lqr,3.184,-176.105998,3.210294,-1.930261,0.001089976,0.214521956,-3.073629496,0.000000,6,-0.019302609,-1.378757806,0.000000000,0.000000,swing_up
lqr,3.204,-175.940599,3.529276,4.218902,0.001059599,0.137061430,-3.070742739,0.000000,6,0.042189021,3.013501511,0.000000000,0.000000,swing_up
lqr,3.225,-175.734217,3.908032,-0.533084,0.001250059,0.201870271,-3.067140692,0.000000,6,-0.005330842,-0.380774431,0.000000000,0.000000,swing_up
lqr,3.246,-175.552132,4.305619,-6.923294,0.001232011,0.112052657,-3.063962713,0.000000,6,-0.069232942,-4.945210132,0.000000000,0.000000,swing_up
lqr,3.267,-175.695746,4.581621,-6.910710,0.001349133,-0.246167569,-3.066469253,0.000000,6,-0.069107099,-4.936221371,0.000000000,0.000000,swing_up
lqr,3.287,-176.286321,4.676515,-0.547927,0.002207546,-0.588127900,-3.076776732,0.000000,6,-0.005479273,-0.391376671,0.000000000,0.000000,swing_up
lqr,3.307,-177.080259,4.718917,5.672062,0.002216146,-0.653214854,-3.090633560,0.000000,6,0.056720615,4.051472509,0.000000000,0.000000,swing_up
lqr,3.328,-177.655694,4.840170,11.941097,0.001155148,-0.454624682,-3.100676800,0.000000,6,0.119410966,8.529354709,0.000000000,0.000000,swing_up
lqr,3.348,-177.838878,5.178805,5.632652,0.000288936,-0.049587792,-3.103873965,0.000000,6,0.056326523,4.023323070,0.000000000,0.000000,swing_up
lqr,3.368,-177.697181,5.683804,-0.558210,0.000417462,0.158561557,-3.101400886,0.000000,6,-0.005582099,-0.398721370,0.000000000,0.000000,swing_up
lqr,3.389,-177.539449,6.212811,-6.928930,0.000400716,0.098653016,-3.098647938,0.000000,6,-0.069289303,-4.949235910,0.000000000,0.000000,swing_up
lqr,3.409,-177.675129,6.621931,-6.990303,0.000537828,-0.231752074,-3.101016006,0.000000,6,-0.069903027,-4.993073330,0.000000000,0.000000,swing_up
lqr,3.439,-178.579899,6.933785,2.353641,0.001608140,-0.609839553,-3.116807223,0.000000,6,0.023536415,1.681172490,0.000000000,0.000000,swing_up
lqr,3.460,-179.230993,7.128820,8.738323,0.001115669,-0.519693519,-3.128170948,0.000000,6,0.087383229,6.241659190,0.000000000,0.000000,swing_up
lqr,3.481,-179.585145,7.465294,2.375476,0.000215671,-0.226596991,-3.134352075,0.000000,6,0.023754756,1.696768290,0.000000000,0.000000,swing_up
lqr,3.502,-179.736418,7.923423,-4.050271,0.000063245,-0.121545076,-3.136992274,0.000000,6,-0.040502714,-2.893051010,0.000000000,0.000000,swing_up
lqr,3.531,179.847813,8.460995,-1.024431,0.000460684,-0.338858468,3.138936488,0.000000,6,-0.042044890,-3.003206417,0.000000000,0.000000,swing_up
lqr,3.552,179.403958,8.755627,3.965239,0.000589112,-0.376788866,3.131189757,0.000000,6,0.039652395,2.832313916,0.000000000,0.000000,swing_up
lqr,3.572,179.074602,9.097841,-2.210952,0.000318117,-0.258329641,3.125441417,0.000000,6,-0.022109518,-1.579251264,0.000000000,0.000000,swing_up
lqr,3.592,178.753702,9.436342,-3.262065,0.000485791,-0.313433564,3.119840656,0.000000,6,-0.032620650,-2.330046462,0.000000000,0.000000,swing_up
lqr,3.613,178.303766,9.704436,3.107472,0.000825093,-0.404087287,3.111987792,0.000000,6,0.031074723,2.219623058,0.000000000,0.000000,swing_up
lqr,3.643,177.754541,10.139187,-4.211587,0.000649548,-0.295060136,3.102402009,0.000000,6,-0.018803404,-1.343100293,0.000000000,0.000000,swing_up
lqr,3.664,177.347112,10.389017,2.108581,0.000975792,-0.372574124,3.095291027,0.000000,6,0.021085808,1.506129111,0.000000000,0.000000,swing_up
lqr,3.684,176.970508,10.633312,-3.886855,0.000940536,-0.313106331,3.088718049,0.000000,6,-0.038868548,-2.776324892,0.000000000,0.000000,swing_up
lqr,3.704,176.572713,10.845319,1.195166,0.001224316,-0.361419556,3.081775208,0.000000,6,0.011951656,0.853689730,0.000000000,0.000000,swing_up
lqr,3.725,176.196519,11.042213,-3.458714,0.001267871,-0.317642230,3.075209386,0.000000,6,-0.034587145,-2.470510338,0.000000000,0.000000,swing_up
lqr,3.746,175.799609,11.201699,0.274542,0.001551180,-0.352556497,3.068282003,0.000000,6,0.002745415,0.196101105,0.000000000,0.000000,swing_up
lqr,3.766,175.427475,11.342281,-3.031086,0.001660310,-0.320697596,3.061787032,0.000000,6,-0.030310857,-2.165061202,0.000000000,0.000000,swing_up
lqr,3.787,175.035376,11.440509,-0.595754,0.001941642,-0.342594091,3.054943627,0.000000,6,-0.005957535,-0.425538244,0.000000000,0.000000,swing_up
lqr,3.807,174.667275,11.514249,-2.689281,0.002111346,-0.321306327,3.048519040,0.000000,6,-0.026892805,-1.920914675,0.000000000,0.000000,swing_up
lqr,3.828,174.283197,11.542265,-1.339971,0.002392754,-0.332081624,3.041815618,0.000000,6,-0.013399707,-0.957121912,0.000000000,0.000000,swing_up
lqr,3.849,173.921936,11.540099,-2.776919,0.002605418,-0.316054812,3.035510425,0.000000,6,-0.027769194,-1.983513822,0.000000000,0.000000,swing_up
lqr,3.870,173.547073,11.488192,-1.681430,0.002904614,-0.323486402,3.028967825,0.000000,6,-0.016814299,-1.201021361,0.000000000,0.000000,swing_up
lqr,3.890,173.192674,11.399957,-2.613964,0.003153691,-0.311212582,3.022782405,0.000000,6,-0.030248396,-2.160599710,0.000000000,0.000000,swing_up
lqr,3.911,172.830530,11.259706,-2.214886,0.003454955,-0.311012225,3.016461801,0.000000,6,-0.022148861,-1.582061466,0.000000000,0.000000,swing_up
lqr,3.932,172.485730,11.076751,-2.574782,0.003737239,-0.303081650,3.010443900,0.000000,6,-0.025747816,-1.839129749,0.000000000,0.000000,swing_up
lqr,3.952,172.137869,10.839113,-2.626303,0.004042516,-0.297485747,3.004372578,0.000000,6,-0.026263034,-1.875930990,0.000000000,0.000000,swing_up
