workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,motor_command_cm_s,cart_joint_effort_cmd_n,cart_force_cmd_n,hinge_assist_torque_nm,note
lqr,SWING_UP,2.939,-180.000000,0.000000,3.240464,0.000000000,0.000000000,-3.141592654,0.000000,6,0.032404643,3.240464304,2.314617360,2.314617360,0.000000000,auto_capture
lqr,SWING_UP,2.960,-179.907242,0.043347,4.201439,0.000080682,0.141569187,-3.139973722,0.000000,6,0.042014393,4.201439274,3.001028053,3.001028053,0.000000000,auto_capture
lqr,SWING_UP,2.980,-179.594424,0.190847,-2.262624,0.000364017,0.297567768,-3.134514013,0.000000,6,-0.022626245,-2.262624486,-1.616160347,-1.616160347,0.000000000,auto_capture
lqr,SWING_UP,3.001,-179.311595,0.328551,-1.577013,0.000186960,0.199146236,-3.129577728,0.000000,6,-0.015770132,-1.577013176,-1.126437983,-1.126437983,0.000000000,auto_capture
lqr,SWING_UP,3.032,-179.067660,0.461726,4.203267,0.000183155,0.181110434,-3.125320243,0.000000,6,0.042032673,4.203267289,3.002333778,3.002333778,0.000000000,auto_capture
lqr,SWING_UP,3.052,-178.746160,0.633547,-2.113917,0.000459415,0.302266207,-3.119709025,0.000000,6,-0.021139174,-2.113917431,-1.509941022,-1.509941022,0.000000000,auto_capture
lqr,SWING_UP,3.073,-178.468386,0.794981,-2.088728,0.000282043,0.188315088,-3.114860954,0.000000,6,-0.020887277,-2.088727651,-1.491948322,-1.491948322,0.000000000,auto_capture
lqr,SWING_UP,3.093,-178.363673,0.886962,4.188833,0.000187493,0.082879738,-3.113033365,0.000000,6,0.041888332,4.188833177,2.992023698,2.992023698,0.000000000,auto_capture
lqr,SWING_UP,3.114,-178.190381,1.022649,3.327049,0.000345564,0.193561364,-3.110008849,0.000000,6,0.033270486,3.327048595,2.376463282,2.376463282,0.000000000,auto_capture
lqr,SWING_UP,3.135,-177.879996,1.235764,-3.026619,0.000579939,0.278996760,-3.104591607,0.000000,6,-0.030266190,-3.026619033,-2.161870738,-2.161870738,0.000000000,auto_capture
lqr,SWING_UP,3.156,-177.641973,1.430892,2.104237,0.000455679,0.175648989,-3.100437314,0.000000,6,0.021042370,2.104236971,1.503026408,1.503026408,0.000000000,auto_capture
lqr,SWING_UP,3.176,-177.425684,1.632923,1.017459,0.000586742,0.218365535,-3.096662370,0.000000,6,0.010174592,1.017459154,0.726756538,0.726756538,0.000000000,auto_capture
lqr,SWING_UP,3.196,-177.154071,1.879537,-0.147965,0.000669258,0.215229323,-3.091921817,0.000000,6,-0.001479648,-0.147964827,-0.105689162,-0.105689162,0.000000000,auto_capture
lqr,SWING_UP,3.217,-176.951092,2.114596,2.724003,0.000692361,0.185011552,-3.088379163,0.000000,6,0.027240029,2.724002873,1.945716338,1.945716338,0.000000000,auto_capture
lqr,SWING_UP,3.237,-176.700427,2.393804,-0.852920,0.000835507,0.215060451,-3.084004246,0.000000,6,-0.008529200,-0.852919957,-0.609228541,-0.609228541,0.000000000,auto_capture
lqr,SWING_UP,3.258,-176.502722,2.671864,3.731881,0.000843864,0.168148967,-3.080553639,0.000000,6,0.037318811,3.731881065,2.665629332,2.665629332,0.000000000,auto_capture
lqr,SWING_UP,3.278,-176.261133,2.995322,-1.932561,0.001024122,0.217337590,-3.076337110,0.000000,6,-0.019325608,-1.932560816,-1.380400583,-1.380400583,0.000000000,auto_capture
lqr,SWING_UP,3.299,-176.073705,3.320073,4.217920,0.001004534,0.144529624,-3.073065882,0.000000,6,0.042179198,4.217919821,3.012799872,3.012799872,0.000000000,auto_capture
lqr,SWING_UP,3.319,-175.860344,3.684671,-1.084485,0.001190423,0.204129035,-3.069342022,0.000000,6,-0.010844846,-1.084484633,-0.774631881,-0.774631881,0.000000000,auto_capture
lqr,SWING_UP,3.340,-175.666572,4.069427,-2.550850,0.001212741,0.150793730,-3.065960071,0.000000,6,-0.025508496,-2.550849569,-1.822035407,-1.822035407,0.000000000,auto_capture
lqr,SWING_UP,3.361,-175.617584,4.416817,-9.008589,0.001150346,-0.027686533,-3.065105062,0.000000,6,-0.090085892,-9.008589165,-6.434706547,-6.434706547,0.000000000,auto_capture
