workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,motor_command_cm_s,cart_joint_effort_cmd_n,cart_force_cmd_n,hinge_assist_torque_nm,note
real_noassist_current,SWING_UP,2.427,-180.000000,0.000000,6.502471,0.000000000,0.000000000,-3.141592654,0.000000,6,0.065024707,6.502470660,4.644621900,4.644621900,0.000000000,auto_capture
real_noassist_current,SWING_UP,2.480,-179.416819,0.276555,-2.486746,0.000330335,0.278392035,-3.131414226,0.000000,6,-0.024867461,-2.486746141,-1.776247243,-1.776247243,0.000000000,auto_capture
real_noassist_current,SWING_UP,2.532,-178.717523,0.637825,1.992136,0.000341876,0.246769210,-3.119209213,0.000000,6,0.019921361,1.992136112,1.422954366,1.422954366,0.000000000,auto_capture
real_noassist_current,SWING_UP,2.585,-178.008086,1.069171,2.813830,0.000430701,0.219994537,-3.106827203,0.000000,6,0.028138298,2.813829848,2.009878463,2.009878463,0.000000000,auto_capture
real_noassist_current,SWING_UP,2.638,-177.320608,1.577480,2.820564,0.000640424,0.229909975,-3.094828434,0.000000,6,0.028205641,2.820564088,2.014688634,2.014688634,0.000000000,auto_capture
real_noassist_current,SWING_UP,2.691,-176.657455,2.199983,2.827563,0.000858394,0.218427186,-3.083254235,0.000000,6,0.028275631,2.827563103,2.019687931,2.019687931,0.000000000,auto_capture
real_noassist_current,SWING_UP,2.744,-175.970776,2.984570,0.786564,0.001208839,0.244417809,-3.071269430,0.000000,6,0.007865636,0.786563638,0.561831170,0.561831170,0.000000000,auto_capture
real_noassist_current,SWING_UP,2.797,-175.289843,3.946640,-0.213604,0.001568975,0.246870449,-3.059384906,0.000000,6,-0.002136041,-0.213604138,-0.152574384,-0.152574384,0.000000000,auto_capture
real_noassist_current,SWING_UP,2.848,-175.641411,4.629977,6.067982,0.002135489,-0.500161187,-3.065520919,0.000000,6,0.060679816,6.067981592,4.334272566,4.334272566,0.000000000,auto_capture
real_noassist_current,SWING_UP,2.901,-176.316124,5.339089,-2.828291,0.000881078,-0.132549007,-3.077296894,0.000000,6,-0.028280234,-2.828023375,-2.020016696,-2.020016696,0.000000000,auto_capture
real_noassist_current,SWING_UP,2.954,-177.087273,6.151678,-2.821746,0.000677223,-0.206324760,-3.090755985,0.000000,6,-0.028217457,-2.821745700,-2.015532643,-2.015532643,0.000000000,auto_capture
real_noassist_current,SWING_UP,3.009,-177.876857,7.071465,-2.815343,0.000477834,-0.228284535,-3.104536814,0.000000,6,-0.028153433,-2.815343282,-2.010959487,-2.010959487,0.000000000,auto_capture
real_noassist_current,SWING_UP,3.062,-178.676933,8.067536,-2.807694,0.000239600,-0.183701043,-3.118500783,0.000000,6,-0.028076936,-2.807693586,-2.005495419,-2.005495419,0.000000000,auto_capture
real_noassist_current,SWING_UP,3.114,-179.484401,9.108427,-0.993574,0.000271607,-0.252843085,-3.132593746,0.000000,6,-0.009935737,-0.993573695,-0.709695496,-0.709695496,0.000000000,auto_capture
real_noassist_current,SWING_UP,3.167,179.717253,10.168439,0.530638,0.000397118,-0.313185144,3.136657796,0.000000,6,0.005306377,0.530637661,0.379026901,0.379026901,0.000000000,auto_capture
real_noassist_current,SWING_UP,3.220,178.863853,11.210437,-2.813282,0.000413625,-0.290034289,3.121763142,0.000000,6,-0.028132815,-2.813281528,-2.009486806,-2.009486806,0.000000000,auto_capture
real_noassist_current,SWING_UP,3.273,178.023893,12.146045,-2.817481,0.000544415,-0.278860244,3.107103088,0.000000,6,-0.028174812,-2.817481210,-2.012486578,-2.012486578,0.000000000,auto_capture
real_noassist_current,SWING_UP,3.326,177.122316,13.010054,-1.325156,0.000885245,-0.312419525,3.091367595,0.000000,6,-0.013251561,-1.325156104,-0.946540074,-0.946540074,0.000000000,auto_capture
real_noassist_current,SWING_UP,3.380,176.218760,13.713653,2.022158,0.001310801,-0.337857748,3.075597569,0.000000,6,0.020221579,2.022157888,1.444398491,1.444398491,0.000000000,auto_capture
real_noassist_current,SWING_UP,3.432,175.379279,14.258839,0.068463,0.001702874,-0.326917049,3.060945862,0.000000,6,0.000684626,0.068462629,0.048901878,0.048901878,0.000000000,auto_capture
real_noassist_current,SWING_UP,3.486,174.482816,14.590592,-0.472290,0.002239333,-0.324616537,3.045299633,0.000000,6,-0.004722898,-0.472289801,-0.337349858,-0.337349858,0.000000000,auto_capture
real_noassist_current,SWING_UP,3.539,173.591677,14.678613,-2.878867,0.002832836,-0.308630057,3.029746326,0.000000,6,-0.007008786,-0.700878589,-0.500627564,-0.500627564,0.000000000,auto_capture
