workspace,category,name,source,unit_or_type,value,description,interpretation
pendulum_real_ws,identity,workspace_path,repo,path,pendulum_real_ws,Workspace simulasi yang lebih dekat Manual Book LIP01,Dipakai untuk membandingkan dengan karakter alat asli
pendulum_real_ws,identity,package,ROS 2 package,name,linear_inverted_pendulum_real_sim,Package manual-book-style untuk Gazebo Harmonic dan ROS 2 Jazzy,Launch dengan real_sim.launch.py
pendulum_real_ws,identity,serial_symlink,real_serial_bridge.py,path,/tmp/pendulum_real_serial,Pseudo serial terpisah untuk GUI Python lama,Butuh PENDULUM_SIM=1 karena portnya bukan /tmp/pendulum_sim_serial
pendulum_real_ws,identity,gui_command,README,command,PENDULUM_PORT=/tmp/pendulum_real_serial PENDULUM_SIM=1 PENDULUM_NO_JOYSTICK=1 python3 main.py,Command GUI untuk workspace manual-book-style,Mencegah GUI memakai gain hardware asli yang tidak cocok untuk sim
pendulum_real_ws,model,base_length,URDF,m,1.00,Panjang base sesuai Manual Book LIP01,Data fisik visual dan collision
pendulum_real_ws,model,base_width,URDF,m,0.35,Lebar base sesuai Manual Book LIP01,Data fisik visual dan collision
pendulum_real_ws,model,travel,URDF,m,0.78,Travel kontrol rail,Kiri-kanan sekitar +/-0.39 m dari tengah
pendulum_real_ws,model,rail_limit,real_serial_bridge.py,m,0.39,Batas posisi cart dalam controller,Digunakan untuk rail guard
pendulum_real_ws,model,cart_mass,real_serial_bridge.py,kg,1.20,Massa cart pada model kontrol,Mempengaruhi gaya balance
pendulum_real_ws,model,pendulum_length,URDF,m,0.40,Panjang batang pendulum sesuai Manual Book,Batang D8 x 400 mm
pendulum_real_ws,model,pendulum_mass,real_serial_bridge.py,kg,0.20,Massa pendulum sesuai Manual Book,Dipakai pada energi swing-up
pendulum_real_ws,model,pendulum_com,real_serial_bridge.py,m,0.20,Jarak pusat massa dari engsel,Target energi memakai nilai ini
pendulum_real_ws,topic,/joint_states,Gazebo to ROS,sensor_msgs/JointState,cart_slider; pendulum_hinge,Posisi dan kecepatan joint dari Gazebo,Sumber state mentah controller
pendulum_real_ws,topic,/pendulum/cart_velocity_cmd,ROS topic,m/s,Float64,Command kecepatan cart dari controller internal,Belum termasuk respons lambat motor
pendulum_real_ws,topic,/pendulum/cart_force_cmd,ROS topic,N,Float64,Gaya motor cart yang dikirim ke Gazebo,Data penting untuk melihat limit gaya realistis
pendulum_real_ws,topic,/pendulum/hinge_assist_force_cmd,ROS topic,Nm,Float64,Assist kecil khusus simulasi saat catch atau balance,Bisa dimatikan dengan balance_assist_enabled=false
pendulum_real_ws,topic,/pendulum/sim_state,ROS topic,Float64MultiArray,"degree; cmX; setspeed; energy; theta_dot_rad; theta_rad; x_center_cm; mode",Data ringkas untuk analisis runtime,Topic utama untuk membaca keberhasilan swing-up dan balance
pendulum_real_ws,sim_state,degree,/pendulum/sim_state,deg,runtime,Sudut terhadap posisi atas,0 deg berarti pendulum tegak di atas dan +/-180 deg berarti di bawah
pendulum_real_ws,sim_state,cmX,/pendulum/sim_state,cm,runtime,Posisi cart dari tengah rail,Nilai besar berarti cart mendekati ujung rail
pendulum_real_ws,sim_state,setspeed,/pendulum/sim_state,cm/s,runtime,Command kecepatan cart yang sedang diminta controller,Di workspace ini respons aktual masih diperlambat model motor
pendulum_real_ws,sim_state,energy,/pendulum/sim_state,J,runtime,Energi pendulum yang dihitung controller,Naik saat swing-up membangun energi
pendulum_real_ws,sim_state,theta_dot_rad,/pendulum/sim_state,rad/s,runtime,Kecepatan sudut pendulum,Harus kecil karena capture lebih ketat
pendulum_real_ws,sim_state,theta_rad,/pendulum/sim_state,rad,runtime,Sudut terhadap posisi atas dalam radian,0 rad berarti tegak di atas
pendulum_real_ws,sim_state,x_center_cm,/pendulum/sim_state,cm,runtime,Target tengah balance cart,Controller balance menahan cart dekat nilai ini
pendulum_real_ws,sim_state,mode,/pendulum/sim_state,enum,runtime,Mode controller saat ini,6 berarti SWING_UP dan 7 berarti BALANCE
pendulum_real_ws,serial_status,logtick,serial packet,ms,runtime,Waktu internal bridge yang dikirim ke GUI lewat status serial,Tidak masuk list /pendulum/sim_state karena topic membuang field pertama
pendulum_real_ws,mode,WAITING,controller enum,id,1,Menunggu start/packet GUI,Belum menggerakkan cart
pendulum_real_ws,mode,HOMING,controller enum,id,2,Cart diarahkan ke tengah rail,Diaktifkan dengan tombol Y
pendulum_real_ws,mode,READY,controller enum,id,3,Cart sudah homing dan siap,Mode sebelum swing-up
pendulum_real_ws,mode,SINE,controller enum,id,4,Mode test osilasi cart,Bukan metode utama swing-up
pendulum_real_ws,mode,FINISH,controller enum,id,5,Stop/finish dari GUI,Cart command nol
pendulum_real_ws,mode,SWING_UP,controller enum,id,6,Membangun energi pendulum,Diaktifkan dengan tombol X
