workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,motor_command_cm_s,cart_joint_effort_cmd_n,cart_force_cmd_n,hinge_assist_torque_nm,note
pendulum_real_ws,SWING_UP,0.262,-180.000000,0.000000,14.674563,0.000000000,0.000000000,-3.141592654,0.000000,6,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,auto_capture
pendulum_real_ws,SWING_UP,0.312,-178.649371,0.709035,29.192927,0.000336569,-0.238510473,-3.118019734,0.000000,6,0.149196222,14.919622191,-145.000000000,-145.000000000,0.000000000,auto_capture
pendulum_real_ws,SWING_UP,0.363,-178.951935,0.864188,42.128731,0.012737702,-1.779891492,-3.123300462,0.000000,6,0.421287314,42.128731391,145.000000000,145.000000000,0.000000000,auto_capture
pendulum_real_ws,SWING_UP,0.414,-178.247251,1.541007,27.654441,0.018071908,2.114728913,-3.111001419,0.000000,6,0.421121246,42.112124590,145.000000000,145.000000000,0.000000000,auto_capture
pendulum_real_ws,SWING_UP,0.465,-177.427414,2.330399,13.372859,0.005353295,1.113307938,-3.096692552,0.000000,6,0.133728588,13.372858800,-122.704555141,-122.704555141,0.000000000,auto_capture
pendulum_real_ws,SWING_UP,0.516,-178.065020,2.486245,27.207596,0.020713488,-2.263279545,-3.107820890,0.000000,6,0.272075958,27.207595800,145.000000000,145.000000000,0.000000000,auto_capture
pendulum_real_ws,SWING_UP,0.566,-179.436444,2.356904,41.648222,0.011178465,-1.670290680,-3.131756739,0.000000,6,0.275409498,27.540949798,145.000000000,145.000000000,0.000000000,auto_capture
pendulum_real_ws,SWING_UP,0.617,-178.196514,3.506835,27.055727,0.027643413,2.619591422,-3.110115886,0.000000,6,0.270557266,27.055726603,-145.000000000,-145.000000000,0.000000000,auto_capture
pendulum_real_ws,SWING_UP,0.668,-176.182179,5.181963,12.486097,0.006156417,1.149522224,-3.074959106,0.000000,6,0.124860974,12.486097401,-126.942194721,-126.942194721,0.000000000,auto_capture
pendulum_real_ws,SWING_UP,0.719,-177.563058,5.372141,26.321998,0.021933814,-2.322656704,-3.099059995,0.000000,6,0.122541538,12.254153797,-145.000000000,-145.000000000,0.000000000,auto_capture
pendulum_real_ws,SWING_UP,0.770,-179.098827,5.521442,40.707752,0.011966864,-1.726146578,-3.125864212,0.000000,6,0.407077524,40.707752398,145.000000000,145.000000000,0.000000000,auto_capture
