workspace,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,external_force_n,note
pid,2.829,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,1,0.000000000,0.000000000,0.000000000,0.000000,startup
pid,2.851,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,1,0.000000000,0.000000000,0.000000000,0.000000,homing
pid,2.872,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
pid,2.893,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
pid,2.915,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
pid,2.936,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
pid,2.957,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
pid,2.977,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
pid,2.998,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
pid,3.019,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
pid,3.039,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
pid,3.060,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
pid,3.081,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,swing_up
pid,3.111,-179.911401,0.041403,4.201314,0.000073652,0.135261771,-3.140046318,0.000000,6,0.042013139,3.000938483,0.000000000,0.000000,swing_up
pid,3.132,-179.608860,0.184043,-2.144218,0.000342703,0.288773016,-3.134765967,0.000000,6,-0.021442176,-1.531584017,0.000000000,0.000000,swing_up
pid,3.152,-179.329410,0.319966,-0.750069,0.000190564,0.202292009,-3.129888653,0.000000,6,-0.007500694,-0.535763835,0.000000000,0.000000,swing_up
pid,3.173,-179.153483,0.413132,4.202676,0.000149995,0.163682739,-3.126818141,0.000000,6,0.042026758,3.001911253,0.000000000,0.000000,swing_up
pid,3.193,-178.873478,0.561586,-2.181318,0.000360370,0.266705223,-3.121931130,0.000000,6,-0.021813185,-1.558084628,0.000000000,0.000000,swing_up
pid,3.214,-178.615022,0.708949,1.723028,0.000272724,0.198802024,-3.117420230,0.000000,6,0.017230276,1.230734026,0.000000000,0.000000,swing_up
pid,3.234,-178.373438,0.858933,0.480799,0.000385572,0.238463433,-3.113203794,0.000000,6,0.004807988,0.343427721,0.000000000,0.000000,swing_up
pid,3.255,-178.086925,1.042231,-0.024373,0.000421660,0.225247179,-3.108203197,0.000000,6,-0.000243728,-0.017409168,0.000000000,0.000000,swing_up
pid,3.276,-177.865107,1.209500,1.641990,0.000444322,0.207337109,-3.104331748,0.000000,6,0.016419904,1.172850293,0.000000000,0.000000,swing_up
pid,3.297,-177.600695,1.412353,0.252550,0.000533711,0.217777982,-3.099716889,0.000000,6,0.002525497,0.180392626,0.000000000,0.000000,swing_up
pid,3.317,-177.375789,1.614230,1.020984,0.000584267,0.207823251,-3.095791524,0.000000,6,0.010209839,0.729274184,0.000000000,0.000000,swing_up
pid,3.337,-177.126279,1.846629,1.108450,0.000659804,0.203926292,-3.091436764,0.000000,6,0.011084498,0.791749866,0.000000000,0.000000,swing_up
pid,3.358,-176.905714,2.086188,0.916352,0.000736126,0.202502700,-3.087587168,0.000000,6,0.009163516,0.654536875,0.000000000,0.000000,swing_up
pid,3.378,-176.669453,2.355296,1.390000,0.000814047,0.194472213,-3.083463641,0.000000,6,0.013900000,0.992857136,0.000000000,0.000000,swing_up
