workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,motor_command_cm_s,cart_joint_effort_cmd_n,cart_force_cmd_n,hinge_assist_torque_nm,note
pid,SWING_UP,3.011,-179.985577,0.006725,6.471049,0.000004278,0.032654333,-3.141340923,0.000000,6,0.064710492,6.471049200,4.622178000,4.622178000,0.000000000,auto_capture
pid,SWING_UP,3.031,-179.781483,0.102373,1.097745,0.000232438,0.239574494,-3.137778808,0.000000,6,0.010977453,1.097745294,0.784103782,0.784103782,0.000000000,auto_capture
pid,SWING_UP,3.052,-179.450436,0.259971,-4.438623,0.000322816,0.276027700,-3.132000957,0.000000,6,-0.044386230,-4.438623010,-3.170445007,-3.170445007,0.000000000,auto_capture
pid,SWING_UP,3.073,-179.245496,0.363746,1.920783,0.000118666,0.145467860,-3.128424081,0.000000,6,0.019207830,1.920782966,1.371987833,1.371987833,0.000000000,auto_capture
pid,SWING_UP,3.094,-179.053975,0.467195,3.362185,0.000214018,0.200331695,-3.125081407,0.000000,6,0.033621851,3.362185074,2.401560767,2.401560767,0.000000000,auto_capture
pid,SWING_UP,3.115,-178.725714,0.642029,-3.136743,0.000457560,0.300214675,-3.119352171,0.000000,6,-0.031367427,-3.136742746,-2.240530533,-2.240530533,0.000000000,auto_capture
pid,SWING_UP,3.136,-178.461737,0.796994,-0.360333,0.000276955,0.184080169,-3.114744898,0.000000,6,-0.003603331,-0.360333108,-0.257380792,-0.257380792,0.000000000,auto_capture
pid,SWING_UP,3.156,-178.311495,0.910263,4.204496,0.000252027,0.142866696,-3.112122684,0.000000,6,0.042044959,4.204495892,3.003211351,3.003211351,0.000000000,auto_capture
pid,SWING_UP,3.177,-178.049956,1.087861,-0.834430,0.000495076,0.258760495,-3.107557959,0.000000,6,-0.008344295,-0.834429516,-0.596021083,-0.596021083,0.000000000,auto_capture
pid,SWING_UP,3.198,-177.774088,1.286766,-0.897286,0.000458844,0.201717311,-3.102743161,0.000000,6,-0.008972855,-0.897285541,-0.640918244,-0.640918244,0.000000000,auto_capture
pid,SWING_UP,3.219,-177.629442,1.440549,4.207120,0.000399120,0.125807691,-3.100218618,0.000000,6,0.042071199,4.207119872,3.005085623,3.005085623,0.000000000,auto_capture
pid,SWING_UP,3.240,-177.399650,1.651043,1.004740,0.000633931,0.239725948,-3.096207978,0.000000,6,0.010047401,1.004740137,0.717671527,0.717671527,0.000000000,auto_capture
pid,SWING_UP,3.260,-177.099049,1.913625,-2.998376,0.000736408,0.241637088,-3.090961504,0.000000,6,-0.029983764,-2.998376354,-2.141697396,-2.141697396,0.000000000,auto_capture
pid,SWING_UP,3.281,-176.936647,2.132591,3.403256,0.000612698,0.113995912,-3.088127052,0.000000,6,0.034032561,3.403256113,2.430897224,2.430897224,0.000000000,auto_capture
pid,SWING_UP,3.302,-176.770625,2.374852,3.170035,0.000748668,0.177159980,-3.085229425,0.000000,6,0.031700345,3.170034506,2.264310362,2.264310362,0.000000000,auto_capture
pid,SWING_UP,3.323,-176.500154,2.688997,-3.250033,0.000956758,0.237127225,-3.080508815,0.000000,6,-0.032500333,-3.250033301,-2.321452358,-2.321452358,0.000000000,auto_capture
pid,SWING_UP,3.344,-176.321668,2.985195,3.086936,0.000868023,0.122126924,-3.077393644,0.000000,6,0.030869364,3.086936415,2.204954582,2.204954582,0.000000000,auto_capture
pid,SWING_UP,3.364,-176.155796,3.301365,2.315619,0.001002659,0.173042654,-3.074498640,0.000000,6,0.023156193,2.315619328,1.654013806,1.654013806,0.000000000,auto_capture
pid,SWING_UP,3.386,-175.917085,3.678845,-0.926057,0.001154021,0.198829773,-3.070332345,0.000000,6,-0.009260567,-0.926056742,-0.661469101,-0.661469101,0.000000000,auto_capture
pid,SWING_UP,3.406,-175.753585,4.050035,-0.956645,0.001149310,0.134258093,-3.067478728,0.000000,6,-0.009566451,-0.956645146,-0.683317962,-0.683317962,0.000000000,auto_capture
pid,SWING_UP,3.427,-175.658321,4.419066,-7.365140,0.001130924,0.034872021,-3.065816067,0.000000,6,-0.073651399,-7.365139855,-5.260814182,-5.260814182,0.000000000,auto_capture
pid,SWING_UP,3.448,-175.860952,4.678423,-4.223007,0.001289698,-0.257996948,-3.069352637,0.000000,6,-0.042230068,-4.223006841,-3.016433458,-3.016433458,0.000000000,auto_capture
pid,SWING_UP,3.469,-176.341497,4.834714,2.227972,0.001656907,-0.462934453,-3.077739724,0.000000,6,0.022279725,2.227972464,1.591408903,1.591408903,0.000000000,auto_capture
pid,SWING_UP,3.489,-176.869076,4.991762,8.611944,0.001313008,-0.426405709,-3.086947728,0.000000,6,0.086119442,8.611944211,6.151388722,6.151388722,0.000000000,auto_capture
pid,SWING_UP,3.510,-177.152629,5.282336,2.199276,0.000609639,-0.176907646,-3.091896652,0.000000,6,0.021992764,2.199276411,1.570911722,1.570911722,0.000000000,auto_capture
pid,SWING_UP,3.531,-177.280997,5.664050,-4.208864,0.000496899,-0.117402560,-3.094137093,0.000000,6,-0.042088641,-4.208864149,-3.006331535,-3.006331535,0.000000000,auto_capture
pid,SWING_UP,3.552,-177.571453,6.011354,-0.988800,0.000727352,-0.306151379,-3.099206514,0.000000,6,-0.009887999,-0.988799875,-0.706285625,-0.706285625,0.000000000,auto_capture
pid,SWING_UP,3.573,-177.983021,6.270488,5.312246,0.000808243,-0.375874891,-3.106389736,0.000000,6,0.053122463,5.312246260,3.794461614,3.794461614,0.000000000,auto_capture
pid,SWING_UP,3.593,-178.310599,6.604279,-1.102185,0.000419736,-0.249585661,-3.112107045,0.000000,6,-0.011021855,-1.102185456,-0.787275326,-0.787275326,0.000000000,auto_capture
pid,SWING_UP,3.614,-178.623700,6.955098,-1.489393,0.000500120,-0.311013279,-3.117571680,0.000000,6,-0.014893935,-1.489393464,-1.063852474,-1.063852474,0.000000000,auto_capture
pid,SWING_UP,3.635,-179.065652,7.253546,4.959693,0.000650984,-0.386913742,-3.125285208,0.000000,6,0.049596929,4.959692871,3.542637765,3.542637765,0.000000000,auto_capture
pid,SWING_UP,3.656,-179.410894,7.601697,-1.424064,0.000305790,-0.266949816,-3.131310817,0.000000,6,-0.014240639,-1.424063893,-1.017188495,-1.017188495,0.000000000,auto_capture
pid,SWING_UP,3.677,-179.740977,7.959577,-1.127399,0.000421882,-0.323214974,-3.137071849,0.000000,6,-0.011273991,-1.127399132,-0.805285094,-0.805285094,0.000000000,auto_capture
pid,SWING_UP,3.698,179.823771,8.268467,3.802769,0.000555448,-0.372018712,3.138516879,0.000000,6,0.038027693,3.802769294,2.716263781,2.716263781,0.000000000,auto_capture
pid,SWING_UP,3.718,179.493518,8.623393,-2.523488,0.000287714,-0.260951287,3.132752878,0.000000,6,-0.025234879,-2.523487875,-1.802491339,-1.802491339,0.000000000,auto_capture
pid,SWING_UP,3.739,179.156087,8.970148,-1.080621,0.000481375,-0.331213980,3.126863593,0.000000,6,-0.010806210,-1.080621046,-0.771872176,-0.771872176,0.000000000,auto_capture
pid,SWING_UP,3.760,178.723523,9.265023,2.373233,0.000632068,-0.365612536,3.119313928,0.000000,6,0.023732333,2.373233287,1.695166633,1.695166633,0.000000000,auto_capture
pid,SWING_UP,3.780,178.383165,9.592465,-3.992820,0.000475571,-0.282552686,3.113373567,0.000000,6,-0.039928196,-3.992819637,-2.852014026,-2.852014026,0.000000000,auto_capture
