workspace,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,external_force_n,note
real,2.589,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,1,0.000000000,0.000000000,0.000000000,0.000000,startup
real,2.611,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,1,0.000000000,0.000000000,0.000000000,0.000000,homing
real,2.632,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
real,2.653,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
real,2.674,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
real,2.695,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
real,2.716,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
real,2.737,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
real,2.757,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
real,2.778,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
real,2.799,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
real,2.819,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,homing
real,2.840,-180.000000,0.000000,0.000000,0.000000000,0.000000000,-3.141592654,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000,swing_up
real,2.871,-179.914650,0.039875,4.201300,0.000072894,0.134590807,-3.140103012,0.000000,6,0.042013004,3.000928824,0.000000000,0.000000,swing_up
real,2.891,-179.609652,0.183625,-1.976249,0.000349704,0.291803658,-3.134779789,0.000000,6,-0.019762489,-1.411606336,0.000000000,0.000000,swing_up
real,2.921,-179.248165,0.362608,1.644874,0.000108816,0.136961118,-3.128470664,0.000000,6,0.016448736,1.174909699,0.000000000,0.000000,swing_up
real,2.942,-179.071837,0.458958,4.203437,0.000192683,0.187880427,-3.125393149,0.000000,6,0.042034373,3.002455182,0.000000000,0.000000,swing_up
real,2.972,-178.571103,0.728472,-5.114009,0.000461161,0.291178841,-3.116653691,0.000000,6,-0.051140087,-3.652863379,0.000000000,0.000000,swing_up
real,2.993,-178.377545,0.856070,1.268309,0.000219117,0.124300037,-3.113275464,0.000000,6,0.012683094,0.905935261,0.000000000,0.000000,swing_up
