workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,motor_command_cm_s,cart_joint_effort_cmd_n,cart_force_cmd_n,hinge_assist_torque_nm,note
real,SWING_UP,2.935,-180.000000,0.000000,3.174399,0.000000000,0.000000000,-3.141592654,0.000000,6,0.031743986,3.174398612,2.267427580,2.267427580,0.000000000,auto_capture
real,SWING_UP,2.956,-179.908778,0.042629,4.201396,0.000078278,0.139445864,-3.140000528,0.000000,6,0.042013964,4.201396395,3.000997425,3.000997425,0.000000000,auto_capture
real,SWING_UP,2.976,-179.598341,0.188995,-1.961566,0.000361417,0.296553189,-3.134582375,0.000000,6,-0.019615659,-1.961565949,-1.401118535,-1.401118535,0.000000000,auto_capture
real,SWING_UP,2.997,-179.303215,0.332820,-1.861819,0.000174454,0.190681560,-3.129431453,0.000000,6,-0.018618189,-1.861818918,-1.329870656,-1.329870656,0.000000000,auto_capture
real,SWING_UP,3.017,-179.185675,0.398535,4.201484,0.000083200,0.104364757,-3.127380002,0.000000,6,0.042014842,4.201484193,3.001060138,3.001060138,0.000000000,auto_capture
real,SWING_UP,3.038,-178.953327,0.525523,0.951700,0.000301201,0.242759268,-3.123324770,0.000000,6,0.009516999,0.951699881,0.679785629,0.679785629,0.000000000,auto_capture
real,SWING_UP,3.068,-178.528666,0.766929,-0.109093,0.000267139,0.185582720,-3.115913029,0.000000,6,-0.001090931,-0.109093124,-0.077923660,-0.077923660,0.000000000,auto_capture
real,SWING_UP,3.089,-178.366538,0.882484,4.204749,0.000266234,0.163384439,-3.113083365,0.000000,6,0.042047493,4.204749340,3.003392386,3.003392386,0.000000000,auto_capture
real,SWING_UP,3.119,-177.947630,1.163980,-1.576441,0.000478592,0.238155274,-3.105772031,0.000000,6,-0.015764413,-1.576441281,-1.126029486,-1.126029486,0.000000000,auto_capture
real,SWING_UP,3.139,-177.740581,1.336483,4.207633,0.000427901,0.175240947,-3.102158360,0.000000,6,0.042076333,4.207633309,3.005452363,3.005452363,0.000000000,auto_capture
real,SWING_UP,3.160,-177.473334,1.553538,-2.079362,0.000632634,0.250573340,-3.097494021,0.000000,6,-0.020793622,-2.079362175,-1.485258696,-1.485258696,0.000000000,auto_capture
