workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,note
ros2_pendulum_ws,SWING_UP,0.274,-180.000000,0.000000,9.514478,0.000000000,0.000000000,-3.141592654,0.000000,6,0.000000000,0.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.326,-161.494931,9.262974,50.792306,0.720899799,13.234528554,-2.818618273,0.000000,6,0.507923064,53.996076770,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.377,-129.632390,28.862974,91.297059,0.529873589,9.845933708,-2.262512015,0.000000,6,0.912970592,280.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.428,-119.722568,36.645237,50.268038,0.247609590,-3.527102687,-2.089553002,0.000000,6,0.502680384,-280.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.479,-140.568149,16.998482,9.283046,0.297618438,-7.216311133,-2.453377018,0.000000,6,0.092830464,-248.848261759,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.530,-159.969590,-3.001518,-31.851297,0.187878552,-6.405908435,-2.791996041,0.000000,6,-0.318512968,-280.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.582,-176.443781,-23.001518,-73.272163,0.111315918,-5.257383352,-3.079524931,0.000000,6,-0.732721632,-280.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.635,-177.203393,-37.048115,-48.294451,0.290678173,8.517787792,-3.092782660,0.000000,6,-0.482944512,280.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.686,-129.360216,-25.626925,-40.281257,0.561405982,10.220856487,-2.257761685,0.000000,6,-0.402812568,280.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.738,-95.588504,-12.128288,1.457478,0.954041826,12.245968680,-1.668334116,0.000000,6,0.014574776,280.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.790,-67.758686,7.871712,42.914997,0.804224242,8.113223489,-1.182612159,0.000000,6,0.429149968,280.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.841,-49.972773,27.871712,84.067108,0.739154849,4.857524491,-0.872189426,0.000000,6,0.840671080,276.029545083,-0.477327430,auto_capture
ros2_pendulum_ws,SWING_UP,0.893,-27.560621,37.965376,-16.444551,1.360630152,12.453503533,-0.481023576,0.000000,6,-0.164445512,-20.896127241,-2.400000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.945,-9.902250,31.938700,-44.000000,0.806794901,2.638212033,-0.172826867,0.000000,6,-0.440000000,-20.000000000,-1.011865718,auto_capture
ros2_pendulum_ws,SWING_UP,0.997,-5.205230,24.214146,-35.922494,0.791363806,1.430211160,-0.090848404,0.000000,6,-0.359224944,140.994221045,-1.654238422,auto_capture
