workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,motor_command_cm_s,cart_joint_effort_cmd_n,cart_force_cmd_n,hinge_assist_torque_nm,note
ros2_pendulum_ws,SWING_UP,0.281,-179.564760,0.206191,0.031531,0.003488405,0.932347011,-3.133996277,0.000000,6,0.000315308,0.031530804,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.332,-178.864828,0.595229,9.269780,0.000318885,0.245902500,-3.121780165,0.000000,6,0.092697797,9.269779651,7.413002444,7.413002444,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.384,-178.925810,0.736329,24.630657,0.004205250,-1.016893405,-3.122844508,0.000000,6,0.246306574,24.630657379,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.435,-178.220698,1.342900,10.657566,0.000700242,0.357436349,-3.110537977,0.000000,6,0.106575663,10.657566285,7.428552157,7.428552157,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.486,-177.049369,2.356840,4.028188,0.001479412,0.489691737,-3.090094435,0.000000,6,0.040281877,4.028187699,2.877276928,2.877276928,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.536,-176.340046,3.344783,-2.298812,0.003858498,0.874383981,-3.077714400,0.000000,6,-0.022988119,-2.298811940,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.587,-175.296768,4.737543,-10.438446,0.001374207,-0.115003734,-3.059505767,0.000000,6,-0.104384461,-10.438446083,-7.456032916,-7.456032916,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.638,-176.823335,5.085656,3.881594,0.010024348,-1.534714379,-3.086149397,0.000000,6,0.038815939,3.881593917,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.689,-177.764958,5.730173,-10.889971,0.000376299,0.139446191,-3.102583808,0.000000,6,-0.108899713,-10.889971284,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.740,-179.512936,5.957191,-10.209692,0.015133350,-1.944168977,-3.133091778,0.000000,6,-0.102096925,-10.209692456,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.791,179.010101,6.136875,3.416467,0.002518331,-0.784182343,3.124315652,0.000000,6,0.034164669,3.416466939,85.322091979,85.322091979,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.841,-179.932273,7.499403,-10.979666,0.009089819,1.507443570,-3.140410586,0.000000,6,-0.109796659,-10.979665861,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.892,-178.897813,8.905861,-25.955025,0.004713741,1.077165090,-3.122355862,0.000000,6,-0.259550249,-25.955024861,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.942,-179.488466,9.587685,-11.872682,0.007651448,-1.381648420,-3.132664694,0.000000,6,-0.118726825,-11.872682458,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,0.993,179.750029,10.196034,2.087672,0.004023390,-1.002453986,3.137229834,0.000000,6,0.020876723,2.087672338,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.044,-179.523629,11.520694,-12.005782,0.007977546,1.411026560,-3.133278415,0.000000,6,-0.120057819,-12.005781860,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.095,-178.743447,12.911514,-26.958403,0.004049263,0.994346651,-3.119661675,0.000000,6,-0.269584035,-26.958403455,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.146,-179.542606,13.579996,-12.882091,0.008389451,-1.447147868,-3.133609628,0.000000,6,-0.128820909,-12.882090857,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.197,179.539926,14.177632,1.532064,0.004415659,-1.049167386,3.133562855,0.000000,6,0.015320641,1.532064147,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.248,-179.836163,15.494256,-12.995975,0.007649424,1.382734602,-3.138733162,0.000000,6,-0.129959753,-12.995975256,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.298,-179.108636,16.879529,-27.271338,0.003909319,0.982577532,-3.126035410,0.000000,6,-0.272713385,-27.271338460,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.349,-179.917854,17.544587,-12.758616,0.008356686,-1.445361759,-3.140158935,0.000000,6,-0.127586165,-12.758616461,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.400,179.188354,18.140486,0.608445,0.004340302,-1.036934288,3.127426754,0.000000,6,0.006084449,0.608444946,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.452,179.859887,19.456566,-14.216310,0.007862726,1.401923014,3.139147213,0.000000,6,-0.142163105,-14.216310454,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.503,179.843792,20.512505,0.715832,0.003761641,-0.969559522,3.138866307,0.000000,6,0.007158319,0.715831947,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.554,179.343253,21.233742,-24.915998,0.000873548,0.460372318,3.130130264,0.000000,6,-0.249159980,-24.915998032,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.604,179.633060,22.275415,-19.575454,0.004483683,-1.057784897,3.135188342,0.000000,6,-0.195754535,-19.575453513,-13.982466795,-13.982466795,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.655,178.984485,22.754366,-20.917096,0.002807924,-0.828596793,3.123868575,0.000000,6,-0.209170962,-20.917096195,-14.940782996,-14.940782996,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.707,176.547778,22.190046,-19.046958,0.002927898,-0.744283579,3.081340008,0.000000,6,-0.223329130,-22.332912967,-15.952080690,-15.952080690,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.759,176.887736,22.680570,-23.490893,0.000591920,-0.057354456,3.087273398,0.000000,6,-0.234908926,-23.490892565,-16.779208975,-16.779208975,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.810,175.857040,22.322995,-28.171998,0.004394336,0.917735451,3.069284367,0.000000,6,-0.281719983,-28.171998299,-20.122855928,-20.122855928,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.862,174.757355,21.746619,-0.963992,0.006787610,-1.134247509,3.050091243,0.000000,6,-0.009639917,-0.963991741,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.914,174.519678,21.225782,-25.529444,0.002052558,0.254421130,3.045942999,0.000000,6,-0.255294439,-25.529443943,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,1.965,172.594249,19.506819,-10.991869,0.011018172,-1.391479609,3.012337919,0.000000,6,-0.109918691,-10.991869143,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.016,172.781066,18.465819,-0.246690,0.004296528,-0.544532667,3.015598479,0.000000,6,-0.105838657,-10.583865734,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.068,172.302261,16.799199,-10.073242,0.006847915,-0.909917193,3.007241761,0.000000,6,-0.100732418,-10.073241805,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.119,171.714448,14.660571,-25.228465,0.004983333,0.471042614,2.996982489,0.000000,6,-0.252284646,-25.228464638,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.170,170.313463,11.702907,-2.706895,0.006678084,-0.520492666,2.972530698,0.000000,6,-0.027068952,-2.706895170,-1.933496550,-1.933496550,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.221,170.402275,8.974136,-24.431826,0.008301249,0.837957602,2.974080743,0.000000,6,-0.101259278,-10.125927756,-7.651850507,-7.651850507,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.272,168.445410,4.770658,-10.166017,0.024847662,-2.055200945,2.939927011,0.000000,6,-0.244827724,-24.482772360,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.324,167.076628,0.172851,3.617927,0.011423098,-0.609020648,2.916037269,0.000000,6,-0.112511386,-11.251138560,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.375,167.459387,-4.089589,-10.274401,0.013858495,1.060277235,2.922717675,0.000000,6,0.039924772,3.992477242,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.426,168.492371,-8.563552,-25.033539,0.013700170,1.205425611,2.940746640,0.000000,6,-0.106542962,-10.654296154,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.477,168.231700,-14.087337,-11.380367,0.015449345,-1.341756924,2.936197080,0.000000,6,-0.113803669,-11.380366950,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.527,168.119536,-19.996839,3.005876,0.009947388,-0.620862344,2.934239441,0.000000,6,-0.107640408,-10.764040753,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.577,168.798085,-25.932176,16.778387,0.011055033,0.945950348,2.946082352,0.000000,6,0.031862004,3.186200443,44.797803539,44.797803539,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.627,172.806827,-30.472253,29.723837,0.005397484,0.759794359,3.016048100,0.000000,6,0.156594052,15.659405247,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.678,-179.597892,-33.184356,38.798767,0.095839264,4.894629716,-3.134574550,0.000000,6,0.448904402,44.890440179,32.064600128,32.064600128,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.729,-162.327531,-29.809649,6.358899,0.126496022,5.195615191,-2.833149878,0.000000,6,0.205755337,20.575533749,-90.000000000,-90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.781,-161.181266,-32.596409,41.847467,0.023253956,0.754612260,-2.813143791,0.000000,6,0.418474675,41.847467462,29.891048187,29.891048187,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.831,-154.040168,-31.178396,34.024583,0.085380137,3.383320419,-2.688508106,0.000000,6,0.356747420,35.674742015,25.481958582,25.481958582,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.881,-151.385169,-30.233928,33.644352,0.049234125,-0.571404313,-2.642169639,0.000000,6,0.336443518,33.644351763,24.031679831,24.031679831,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.932,-150.143617,-28.684043,14.049101,0.054783915,0.822041458,-2.620500472,0.000000,6,0.170775539,17.077553852,12.198252751,12.198252751,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,2.984,-148.004263,-24.984923,3.812271,0.060799719,0.545266305,-2.583161691,0.000000,6,0.053306465,5.330646468,3.807604620,3.807604620,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,3.035,-147.609497,-20.559604,-0.261528,0.061356304,0.276328697,-2.576271736,0.000000,6,-0.002615284,-0.261528421,-47.498213891,-47.498213891,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,3.086,-147.782570,-14.869369,14.840841,0.066415299,-1.224527456,-2.579292415,0.000000,6,0.148408414,14.840841381,90.000000000,90.000000000,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,3.136,-148.601259,-8.127159,28.746943,0.058607540,-0.535108281,-2.593581236,0.000000,6,0.146454532,14.645453188,76.972885656,76.972885656,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,3.187,-148.755328,0.403153,14.809228,0.058888188,0.702590656,-2.596270255,0.000000,6,0.148092280,14.809227981,-64.725463985,-64.725463985,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,3.238,-149.214999,10.169235,30.500737,0.056002128,-0.421478691,-2.604293018,0.000000,6,0.305007374,30.500737376,47.716528925,47.716528925,0.000000000,auto_capture
ros2_pendulum_ws,SWING_UP,3.288,-150.313642,20.958114,66.977891,0.052940870,-0.599615954,-2.623467965,0.000000,6,0.669778912,66.977891222,47.841350873,47.841350873,0.000000000,auto_capture
