logtick,degree,cmX,setspeed,reserved1,reserved2,reserved3
128297,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128317,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128337,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128357,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128377,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128397,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128417,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128437,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128457,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128477,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128497,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128517,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128537,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128557,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128577,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128597,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128617,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128637,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128657,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128677,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128697,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128717,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128737,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128757,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128777,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128797,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128817,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128837,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128857,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128877,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128897,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128917,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128937,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128957,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128977,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
128997,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129017,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129037,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129057,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129077,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129097,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129117,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129137,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129157,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129177,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129197,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129217,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129237,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129257,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129277,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129297,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129317,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129337,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129357,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129377,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129397,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129417,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129437,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129457,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129477,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129497,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129517,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129537,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129557,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129577,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129597,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129617,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129637,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129657,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129677,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129697,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129717,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129737,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129757,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129777,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129797,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129817,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129837,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129857,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129877,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
